Strategy,StoppingIteration,GradientStableIteration
Top5Similarity,100,43.0
Max Comp,34,30.0
Min Comp,31,30.0
Centroids_saturation_high_seed_51,70,70.0
Centroids_saturation_low_seed_51,67,67.0
Centroids_saturation_medium_seed_51,93,93.0
Random_seed_51,100,
LHS_seed_51,100,94.0
K-Means_seed_51,68,68.0
Farthest_seed_51,88,88.0
ODAL_seed_51,100,
K-Center_seed_51,72,72.0
Random_seed_51+Top5Similarity,72,72.0
Random_seed_51+Max Comp,35,35.0
Random_seed_51+Min Comp,37,37.0
Random_seed_51+Centroids_saturation_high_seed_51,84,84.0
Random_seed_51+Centroids_saturation_low_seed_51,82,82.0
Random_seed_51+Centroids_saturation_medium_seed_51,60,60.0
Random_seed_51+LHS_seed_51,100,
Random_seed_51+K-Means_seed_51,44,44.0
Random_seed_51+Farthest_seed_51,100,
Random_seed_51+ODAL_seed_51,59,59.0
Random_seed_51+K-Center_seed_51,100,
