Strategy,StoppingIteration,GradientStableIteration
Top5Similarity,100,
Max Comp,75,43.0
Min Comp,75,30.0
Centroids_saturation_medium_seed_42,81,55.0
Centroids_saturation_low_seed_42,100,
Centroids_saturation_high_seed_42,73,53.0
Random_seed_42,100,
LHS_seed_42,69,42.0
K-Means_seed_42,100,
Farthest_seed_42,72,32.0
ODAL_seed_42,73,42.0
K-Center_seed_42,100,46.0
Random_seed_42+Top5Similarity,73,61.0
Random_seed_42+Max Comp,76,44.0
Random_seed_42+Min Comp,72,38.0
Random_seed_42+Centroids_saturation_medium_seed_42,71,53.0
Random_seed_42+Centroids_saturation_low_seed_42,72,58.0
Random_seed_42+Centroids_saturation_high_seed_42,80,62.0
Random_seed_42+LHS_seed_42,59,59.0
Random_seed_42+K-Means_seed_42,84,48.0
Random_seed_42+Farthest_seed_42,76,44.0
Random_seed_42+ODAL_seed_42,74,42.0
Random_seed_42+K-Center_seed_42,72,40.0
