Iteration,Top5Similarity,Max Comp,Min Comp,Centroids_saturation_high,Centroids_saturation_low,Centroids_saturation_medium,Random,LHS,K-Means,Farthest,ODAL,K-Center,Random+Top5Similarity,Random+Max Comp,Random+Min Comp,Random+Centroids_saturation_high,Random+Centroids_saturation_low,Random+Centroids_saturation_medium,Random+LHS,Random+K-Means,Random+Farthest,Random+ODAL,Random+K-Center
0,0.15418106104652599,0.020901470019909395,0.043775151119349494,0.04762307627871414,0.05379083289517428,0.05237023103647419,0.04557100827409888,0.044479457150157733,0.061563511183602135,0.0342127692479564,0.05793645456084203,0.03439913599507684,0.03908457862559163,0.021141274569489072,0.028340170885081322,0.03296909303630925,0.03404290039939655,0.03299303709270919,0.03313568618738634,0.03266050448456494,0.02056440858695391,0.03436597169626158,0.022437089217310476
1,0.12282030272080838,0.017848915630310404,0.039699939076298804,0.033333752962624634,0.04229412617202908,0.04034993483977883,0.03846812796562789,0.03589597458752358,0.035314547113939436,0.029170740430520814,0.05132780539118539,0.03107261966426496,0.02756108669591913,0.02022791825081877,0.02594446689374096,0.028974156969024854,0.029001099158286508,0.028455794843022752,0.02996620020340482,0.026751242988659402,0.01874299018767623,0.02945329545891312,0.02138964970438941
2,0.10313734769780872,0.017488321415759504,0.038262266463495606,0.031525656653945015,0.03356072222307762,0.03327557239535592,0.03379998703767665,0.03314758004155369,0.03606884806976822,0.02675279415174835,0.0456354417724623,0.028507685790048042,0.02857228299583555,0.01774127369915198,0.025196477980838634,0.02786330170861448,0.0274421941298593,0.026981110355061726,0.026550314173850387,0.023729532126413638,0.016977728567863122,0.02579426852442625,0.01923471943473529
3,0.0947522513838258,0.0131145498544884,0.0377837827778582,0.03122222630920521,0.03447789262268486,0.03301998449691438,0.03457436709583715,0.03321195459021599,0.03618271181686321,0.02647628649498817,0.04481073951009673,0.02735052620185343,0.02794877408706281,0.015083645188173182,0.02293767269822914,0.026221884583844356,0.02649410236938019,0.025968942393544768,0.02598155931987145,0.023759064060902883,0.01564747382587724,0.02351923457608985,0.01683857227771091
4,0.1096530386017367,0.0135404005931654,0.0379516109232187,0.033053006739340675,0.03506038062269332,0.0348225664418977,0.030530276890760683,0.03360703995129051,0.03374713481395634,0.02534075855917392,0.042585053593016,0.02336551884123538,0.025843032567718482,0.01339579271878458,0.021695756665917835,0.024669865593568478,0.02476139732973446,0.02538748461906199,0.0247136902989825,0.023127522393773216,0.014889026401908468,0.021700269927311822,0.014605144955339006
5,0.10972170893345581,0.012386373200096902,0.03747365708394569,0.03310531464357656,0.03504120662077792,0.0347109873713123,0.030394982782572126,0.03262564260787696,0.03262722263283794,0.022579385438320537,0.043297923163136215,0.02088981559304615,0.024443960219350188,0.012014435490796099,0.01823913255651692,0.022565733685324073,0.024224138250752113,0.02324756355453117,0.02201347988192979,0.022649776606110488,0.01441992047419501,0.02077757514709649,0.013668708632327439
6,0.1213136949117101,0.012941338629193801,0.0376144698423766,0.03325217074124693,0.03362611755849394,0.033904316610069804,0.03033645344548707,0.032364566385633474,0.030452655664482915,0.02088982519364716,0.04313430613209367,0.019239335467146252,0.02407824850509408,0.01196456913301248,0.016931265561042578,0.022419322433216503,0.02241920856494673,0.02165677714240612,0.021443516274191783,0.022015759502083447,0.0141781945510426,0.018057542147647605,0.01296759022570422
7,0.1224582655365021,0.014175635012882801,0.03758646896567559,0.03357063744959439,0.030707939856091503,0.034395025560414495,0.03028904362739378,0.03264739746277332,0.029986234660003476,0.01895977126471873,0.04240762805858051,0.0191977342677445,0.02302113802445948,0.011069738156278432,0.015733163000276752,0.02127672175419227,0.021990581771623073,0.02132646794298707,0.02017558555715493,0.02162517835967804,0.013302072798727851,0.01772827930258575,0.01272366136034917
8,0.12176040090543852,0.0139390002705909,0.036658949846413706,0.03338114636593596,0.02941710426017141,0.03331115633344356,0.02853733101539132,0.032387064627422295,0.02946579337910793,0.01796743751680233,0.041919320030561646,0.019092796517485237,0.02214137668521979,0.0105975498545904,0.01561658771953918,0.020977280966657096,0.021414425984087302,0.02099072220648197,0.019434236911086,0.02158214584269649,0.012922855551925173,0.01749419009216683,0.01220188759970442
9,0.12154902119786407,0.013409603808450698,0.0369515273544157,0.03391622790127557,0.02919795993424888,0.03321489242718709,0.02774763745708998,0.03195313675678957,0.029285449222418346,0.017144053954984938,0.04166358773942707,0.018252933035962683,0.021645915781184192,0.00986753085776293,0.015410317186213829,0.02017377458217759,0.021235604354287292,0.020624879832073197,0.018822183866731193,0.02172821632939538,0.012370157001148668,0.01667768743659624,0.01183997304281235
10,0.121731991877673,0.012756693960441299,0.0384591193241186,0.03416272521788359,0.027073303026662787,0.03297064926750744,0.026203895413911688,0.03210095730600294,0.02889608670430676,0.01655927774003153,0.04111709413521179,0.01803429598004053,0.02092339966874048,0.0092437571255734,0.014513931509109368,0.01959269312304654,0.020197552561121178,0.020093733020428974,0.01834840654189061,0.020679421981770602,0.012243787265226682,0.01626789684900955,0.01177534203791296
11,0.12192559462992389,0.012006918939433103,0.03867104577213041,0.03415051214666172,0.02686212096632486,0.0330517383918115,0.026023182834859087,0.03190799192075357,0.02642053571932703,0.0164634297329874,0.04110394566037574,0.017409079095490717,0.02090822180209064,0.00904429381623093,0.01422263513482882,0.019230397778682354,0.01952067423741971,0.019104232353443294,0.01822413330232408,0.020201307254510407,0.01215164222690642,0.015580240380469481,0.01137326975426994
12,0.12030881750932218,0.012069783000792898,0.038550303024453295,0.03454428052675999,0.02618161487014991,0.03176873079028113,0.02592956271719731,0.031912265053958756,0.026266725096152098,0.01573641109355014,0.040940119263105014,0.017199958760257684,0.02077930500904242,0.00898177017804951,0.013809267098528108,0.01835579222479234,0.01922385960205366,0.01838327556992058,0.017901257052506704,0.02015763419767444,0.01187461733114779,0.015077653396286018,0.01099133546449265
13,0.11432548441770143,0.0119731008009092,0.03799297926897831,0.03455607567852024,0.02621837978932683,0.03199675598232475,0.025498823752994476,0.03205855354649233,0.025487377302145175,0.015562240815025757,0.04073154248833871,0.01691929280055361,0.02015269252410292,0.008717811052629951,0.013782517406874719,0.018182927682432775,0.01920645946108752,0.018287222876273494,0.017875067392220466,0.020090049560005797,0.011411956585908382,0.015105533665996507,0.010820797918222871
14,0.10867565844113622,0.011924817070324698,0.038422636875258806,0.03482179022253694,0.02609293196159653,0.0320872523735045,0.025185894741797128,0.031814588683977185,0.025652838493383862,0.014920460124956172,0.04095439012354696,0.016756961286464214,0.01974031776414826,0.008785070583381242,0.013646453380314469,0.01806512026006513,0.01923472348023821,0.01803551468489887,0.01789320534647052,0.01952059015392122,0.01111660957893593,0.01437604116034967,0.010753536679158031
15,0.1107839164482104,0.010741463102312198,0.0384721714539093,0.03507433381009771,0.026193156300641385,0.03192582875837801,0.025080287906717298,0.031971649815326963,0.02549032050698835,0.014694802173353737,0.040976714113758646,0.0164427105690716,0.019351076497220752,0.008715401182713491,0.013443615992535768,0.01679232155994584,0.019149157811707843,0.017840715581854592,0.01767244177662941,0.01931820583585159,0.010688261784723018,0.014286172699273538,0.01065634551701392
