Top5Similarity,Max Comp,Min Comp,Centroids_saturation_high_seed_48,Centroids_saturation_low_seed_48,Centroids_saturation_medium_seed_48,Random_seed_48,LHS_seed_48,K-Means_seed_48,Farthest_seed_48,ODAL_seed_48,K-Center_seed_48,Random_seed_48+Top5Similarity,Random_seed_48+Max Comp,Random_seed_48+Min Comp,Random_seed_48+Centroids_saturation_high_seed_48,Random_seed_48+Centroids_saturation_low_seed_48,Random_seed_48+Centroids_saturation_medium_seed_48,Random_seed_48+LHS_seed_48,Random_seed_48+K-Means_seed_48,Random_seed_48+Farthest_seed_48,Random_seed_48+ODAL_seed_48,Random_seed_48+K-Center_seed_48
0.15418106104652604,0.020901470019909423,0.043775151119349535,0.04599789273867425,0.056208323527841234,0.05493865709069173,0.047434861166055824,0.05169967817449645,0.05832885332156408,0.04200375073328221,0.050436682220690254,0.027119671266491896,0.03337928983404155,0.019838157053191367,0.02736272182777322,0.027528125374146565,0.030513713475803325,0.031077170501963205,0.03141225957900958,0.02723891231951133,0.026471699028593008,0.046183492691594434,0.020246702774244365
0.12282030272080847,0.017848915630310463,0.039699939076298874,0.03768892120795999,0.03199997650946961,0.032750949489852,0.035834018367670535,0.035638685323001275,0.034174778576235805,0.03909240647079872,0.04109939522818554,0.023156832139018115,0.02808707934167706,0.022518046297252323,0.026511723538536126,0.026666272015182763,0.029932628481101467,0.0304290438321386,0.018858337246001534,0.021797329217235702,0.024565646620851225,0.03688834576165831,0.024474902050072075
0.10313734769780873,0.01748832141575957,0.03826226646349569,0.037490684071869694,0.03157898656147773,0.03183955971685255,0.03605172764812014,0.035680551387470956,0.03839785440975802,0.043883157900547407,0.03780690528891629,0.022895467502996522,0.032071554069218376,0.02163488104233629,0.025125223001943385,0.025569003174519593,0.024970054650838507,0.019675283352553138,0.018495007887044005,0.02050312728132678,0.024537568183048628,0.03825727530857326,0.023772324683472536
0.09475225138382583,0.013114549854488499,0.037783782777858224,0.03273329604907588,0.034382877244954785,0.032855076499690404,0.03662054486167735,0.035750739732325766,0.038210450349296085,0.043320453564565924,0.03872828252815362,0.022209612357823556,0.029386393519021746,0.019423011320353723,0.02274626935774892,0.018654490772138013,0.02244249914377311,0.01827823894251233,0.01683184690533317,0.020124670150495495,0.01899679186125306,0.03318715239843919,0.021410651935512497
0.10965303860173675,0.013540400593165459,0.037951610923218713,0.0326875011555493,0.03496584712428662,0.03491977264625439,0.03194459651955774,0.033728827773151865,0.037441858000008,0.04092054675740767,0.03757039478394486,0.014947690187790809,0.025618553187009088,0.012768248806206958,0.016905601290546173,0.017495091611134394,0.017555190397413843,0.01785699219751742,0.016686673106733364,0.017972569764523643,0.019462267299801737,0.03298483051845538,0.01918308224245444
0.10972170893345588,0.012386373200096928,0.03747365708394576,0.032810090450016496,0.032984841116940805,0.02860542666200549,0.0323236472068801,0.03344534352228357,0.03705300813891994,0.04043384247369003,0.03511143880995595,0.01203193626243565,0.02736056964787122,0.013518606686734574,0.013756478998321811,0.013126354609157153,0.01684427967710602,0.016433227333704777,0.012784064263052277,0.010102747955150352,0.017066277438494308,0.03230668585607851,0.013990319017009844
0.12131369491171014,0.012941338629193853,0.0376144698423766,0.035188733876808306,0.0323991979558266,0.020445634114636776,0.03185984176280352,0.034331147631679264,0.03388726007446027,0.04038323098100577,0.033935172740368974,0.009164424723350866,0.027252666601010424,0.013203066891878019,0.013522163363214226,0.012655022294726514,0.010250128052879502,0.010859476525207551,0.012902250604268695,0.01002408080557658,0.016520172575239765,0.020723839194248583,0.013593000343452094
0.12245826553650219,0.014175635012882841,0.03758646896567562,0.035095333314425055,0.03306668547603469,0.020834130515946292,0.03284630840502106,0.03465419397363069,0.034148211422636035,0.03932913391140456,0.03379329766133218,0.009346945485303435,0.02672232365928368,0.012915231381863707,0.012484270152065309,0.009884685220902934,0.009726620764864833,0.01081070234204183,0.011021660734631393,0.009979676189178634,0.015217725372273599,0.01730364981722278,0.012689459917045204
0.12176040090543856,0.01393900027059096,0.036658949846413734,0.035065441355321816,0.033610311016412056,0.015431792339608199,0.01989886762525471,0.03388185997239434,0.03490800847894144,0.03925683374881592,0.03383112930917496,0.008817359355547965,0.026768868136125917,0.01051564252512135,0.012380028416489098,0.00889747911782238,0.009371961244003094,0.0087377891506404,0.010596076022858955,0.009886014257356692,0.010680720052854049,0.01746768570012601,0.010269085971261194
0.12154902119786412,0.013409603808450766,0.036951527354415724,0.034360043265494265,0.034463571092713696,0.01580108959686646,0.018283231425196472,0.034025104265837276,0.03463847230267925,0.03904742475655893,0.03612229115155834,0.00892321209960604,0.025545687405504308,0.009696858075343552,0.012365470569539716,0.008824965620353072,0.009177116829184016,0.008286165514908888,0.010607799077694992,0.009865119678426668,0.011117201848970476,0.012156809507156282,0.010397245754375268
