Strategy,StoppingIteration,GradientStableIteration
Top5Similarity,100,
Max Comp,75,43.0
Min Comp,75,30.0
Centroids_saturation_medium_seed_51,100,96.0
Centroids_saturation_low_seed_51,79,40.0
Centroids_saturation_high_seed_51,100,
Random_seed_51,74,48.0
LHS_seed_51,100,
K-Means_seed_51,85,39.0
Farthest_seed_51,100,32.0
ODAL_seed_51,100,61.0
K-Center_seed_51,78,30.0
Random_seed_51+Top5Similarity,100,
Random_seed_51+Max Comp,75,58.0
Random_seed_51+Min Comp,68,41.0
Random_seed_51+Centroids_saturation_medium_seed_51,68,64.0
Random_seed_51+Centroids_saturation_low_seed_51,58,58.0
Random_seed_51+Centroids_saturation_high_seed_51,68,68.0
Random_seed_51+LHS_seed_51,77,58.0
Random_seed_51+K-Means_seed_51,82,45.0
Random_seed_51+Farthest_seed_51,67,42.0
Random_seed_51+ODAL_seed_51,68,36.0
Random_seed_51+K-Center_seed_51,65,44.0
