Top5Similarity,Max Comp,Min Comp,Centroids_saturation_medium_seed_44,Centroids_saturation_low_seed_44,Centroids_saturation_high_seed_44,Random_seed_44,LHS_seed_44,K-Means_seed_44,Farthest_seed_44,ODAL_seed_44,K-Center_seed_44,Random_seed_44+Top5Similarity,Random_seed_44+Max Comp,Random_seed_44+Min Comp,Random_seed_44+Centroids_saturation_medium_seed_44,Random_seed_44+Centroids_saturation_low_seed_44,Random_seed_44+Centroids_saturation_high_seed_44,Random_seed_44+LHS_seed_44,Random_seed_44+K-Means_seed_44,Random_seed_44+Farthest_seed_44,Random_seed_44+ODAL_seed_44,Random_seed_44+K-Center_seed_44
0.09363477279815151,0.04304156116441703,0.05258281093066457,0.04093536812701862,0.05617024941986312,0.062477386671980405,0.028188648687572655,0.021056015220170463,0.0806368132582992,0.030073673163689387,0.11504987024431736,0.05220363814745121,0.027004721699430127,0.021666795453667533,0.014022519947664151,0.01836545434240037,0.01920170567248578,0.020457592032821607,0.012880930396092949,0.015882666355173918,0.020181073220888215,0.012452937945942462,0.013053942950620113
0.08903074516159187,0.038505077828676654,0.02482118053601031,0.03954985265828829,0.02867085396815759,0.030686387881409736,0.022906591412444686,0.020268992779654046,0.03723615833071583,0.03025694907816711,0.06810465569732572,0.050506933244850734,0.023913391741574953,0.021821541459020977,0.012958927942899786,0.01804769765212391,0.018662668492544856,0.019491065365691135,0.012410121897457873,0.014738825334723609,0.023057269428995525,0.011761623225333636,0.012393681215063668
0.09379978905254448,0.03558100591646942,0.023543196682705957,0.03807330606285313,0.02829200722234866,0.028475608048623112,0.02338163198428385,0.017475107147663545,0.03700157129794584,0.03928730825792852,0.052160810975712645,0.045119980359594955,0.023943853531175636,0.021875203782530123,0.012381774927205737,0.01804057072864178,0.020031306136731,0.018569369258189937,0.011950165458828372,0.014455337583165462,0.022440842960579216,0.011340462964957379,0.012526935171287947
0.09310730875749267,0.037174952550309996,0.020503718788673474,0.0299645971981987,0.028454571539406892,0.02800155221269679,0.023264772779094042,0.016984736793823563,0.03668869923465646,0.03935730273008511,0.052478152736175454,0.04543025261876111,0.012531564807917284,0.023670549591114975,0.012556847854372822,0.017338350199761866,0.018065639907082674,0.017478311668800168,0.011967854482376217,0.011448466680484479,0.021768469983858906,0.011149166880939053,0.012600357459184551
0.09500799834993048,0.03504163255596839,0.02071198818230545,0.029574963102018972,0.028126820474785715,0.019536383009124886,0.014667450214260747,0.014270423131007176,0.037122109384356776,0.03714116312677835,0.05211456008329874,0.04426269478412663,0.012641142447420482,0.016205002129385564,0.012591234867245466,0.01744739797532548,0.01722511130004147,0.017269535959599853,0.011630503104627309,0.012123515317721214,0.012225501226789469,0.011601725392896391,0.012289970417634608
0.09586546659081713,0.03495568364031862,0.021709361691337165,0.027245092250535504,0.028138557924669273,0.019210882006283625,0.014735746339147635,0.013896124530099606,0.038719054502939616,0.03664081568622623,0.04212004173357138,0.044497155742765276,0.012259694770934271,0.016062619260982645,0.012612492433335941,0.015997139411264107,0.01714626131339924,0.01714027892427034,0.011255129641365613,0.012153580275681593,0.011957965924704696,0.011648636151992001,0.012385606775970014
0.09555241497488935,0.034872264723133636,0.02168939457856553,0.026266633022090882,0.02785379678857701,0.01832213792266609,0.014863933524431546,0.014319835143469361,0.03867546499467489,0.03521835736406332,0.043285702754388505,0.046374683737896,0.01248346174131608,0.014545513092009486,0.012483302470901916,0.01597664895074768,0.01741751573844791,0.010377940865962892,0.011266122207799729,0.012195427955266002,0.01217324429753384,0.011666699510034892,0.011944036038191913
0.09354554405462867,0.033427692909183085,0.025483132625531306,0.019696932309024664,0.027912194141503716,0.018208932565467306,0.014533071248853498,0.014505003611545653,0.03867406210322051,0.035537124116111644,0.044117447195707184,0.04418524865864177,0.012896740905885927,0.01447357094882024,0.01109917143529485,0.015732999563747272,0.0174349086144881,0.010394340207376503,0.010723800373370087,0.011890611507330612,0.008899816152532996,0.011603147697941069,0.010346162470347527
0.09259994015278922,0.035906934952449086,0.024851343621057925,0.02011596763152307,0.03202873181545567,0.014205542792710264,0.014495576704696542,0.014224997000161598,0.038664423627375356,0.03548835948413526,0.044393437264130954,0.04394158402115113,0.011514454821675707,0.014103226718863228,0.010294781627999402,0.014093782932949692,0.013731665344740416,0.010481212688429125,0.009549158115545804,0.011642030884895583,0.008917270093977813,0.010302554420380701,0.008886830251293115
0.09440827986557307,0.03321317802130537,0.022053663855572992,0.019176141457203057,0.032372008752119215,0.014843862204361144,0.013901260015037623,0.014282683760234102,0.038786215816343,0.03548719117025572,0.044447623344375506,0.04464325428247816,0.010730216924788795,0.014404218463463684,0.008650157250547108,0.013634074258525591,0.013713327276225254,0.010394438547757241,0.009128880637288733,0.010512431139432524,0.009006946697000723,0.009907076764940166,0.008258833584546774
