Strategy,StoppingIteration,GradientStableIteration
Top5Similarity,100,
Max Comp,100,35.0
Min Comp,100,59.0
Centroids_saturation_high_seed_46,100,
Centroids_saturation_low_seed_46,100,65.0
Centroids_saturation_medium_seed_46,80,80.0
Random_seed_46,100,96.0
LHS_seed_46,67,47.0
K-Means_seed_46,96,38.0
Farthest_seed_46,77,35.0
ODAL_seed_46,100,30.0
K-Center_seed_46,90,40.0
Random_seed_46+Top5Similarity,59,53.0
Random_seed_46+Max Comp,54,48.0
Random_seed_46+Min Comp,65,65.0
Random_seed_46+Centroids_saturation_high_seed_46,70,59.0
Random_seed_46+Centroids_saturation_low_seed_46,88,60.0
Random_seed_46+Centroids_saturation_medium_seed_46,92,60.0
Random_seed_46+LHS_seed_46,63,63.0
Random_seed_46+K-Means_seed_46,94,45.0
Random_seed_46+Farthest_seed_46,100,82.0
Random_seed_46+ODAL_seed_46,94,39.0
Random_seed_46+K-Center_seed_46,96,68.0
