Strategy,StoppingIteration,GradientStableIteration
Top5Similarity,100,43.0
Max Comp,34,30.0
Min Comp,31,30.0
Centroids_saturation_high_seed_45,100,79.0
Centroids_saturation_low_seed_45,100,
Centroids_saturation_medium_seed_45,100,48.0
Random_seed_45,100,71.0
LHS_seed_45,100,57.0
K-Means_seed_45,100,
Farthest_seed_45,100,
ODAL_seed_45,42,42.0
K-Center_seed_45,100,68.0
Random_seed_45+Top5Similarity,56,56.0
Random_seed_45+Max Comp,40,40.0
Random_seed_45+Min Comp,39,39.0
Random_seed_45+Centroids_saturation_high_seed_45,100,
Random_seed_45+Centroids_saturation_low_seed_45,100,79.0
Random_seed_45+Centroids_saturation_medium_seed_45,100,
Random_seed_45+LHS_seed_45,100,
Random_seed_45+K-Means_seed_45,100,
Random_seed_45+Farthest_seed_45,100,
Random_seed_45+ODAL_seed_45,100,
Random_seed_45+K-Center_seed_45,46,46.0
