Strategy,StoppingIteration,GradientStableIteration
ODAL_seed_48+Centroids_saturation_low_seed_48,57,57.0
ODAL_seed_48+Centroids_saturation_medium_seed_48,57,57.0
ODAL_seed_48+Centroids_saturation_high_seed_48,52,52.0
ODAL_seed_48+Random_seed_48,42,42.0
ODAL_seed_48+LHS_seed_48,69,69.0
ODAL_seed_48+K-Means_seed_48,82,82.0
ODAL_seed_48+Farthest_seed_48,51,51.0
ODAL_seed_48+K-Center_seed_48,44,44.0
K-Center_seed_48+Top5Similarity,97,66.0
K-Center_seed_48+Max Comp,46,46.0
K-Center_seed_48+Min Comp,100,54.0
K-Center_seed_48+Centroids_saturation_low_seed_48,56,56.0
K-Center_seed_48+Centroids_saturation_medium_seed_48,92,73.0
K-Center_seed_48+Centroids_saturation_high_seed_48,49,49.0
K-Center_seed_48+Random_seed_48,100,77.0
K-Center_seed_48+LHS_seed_48,44,44.0
K-Center_seed_48+K-Means_seed_48,62,62.0
K-Center_seed_48+Farthest_seed_48,49,49.0
K-Center_seed_48+ODAL_seed_48,44,44.0
