Top5Similarity,Max Comp,Min Comp,Centroids_saturation_medium_seed_43,Centroids_saturation_high_seed_43,Centroids_saturation_low_seed_43,Random_seed_43,LHS_seed_43,K-Means_seed_43,Farthest_seed_43,ODAL_seed_43,K-Center_seed_43,Random_seed_43+Top5Similarity,Random_seed_43+Max Comp,Random_seed_43+Min Comp,Random_seed_43+Centroids_saturation_medium_seed_43,Random_seed_43+Centroids_saturation_high_seed_43,Random_seed_43+Centroids_saturation_low_seed_43,Random_seed_43+LHS_seed_43,Random_seed_43+K-Means_seed_43,Random_seed_43+Farthest_seed_43,Random_seed_43+ODAL_seed_43,Random_seed_43+K-Center_seed_43
0.28129645648065055,0.10333505172334759,0.11098351220410128,0.07605942178344528,0.07771071406359786,0.09828003414890209,0.08402214341806254,0.13936669226935455,0.07162735254425241,0.11401627148845392,0.25805930172206587,0.04309899324116004,0.09006098908803602,0.04350848048306516,0.04269042419015663,0.04323874937187997,0.03225413970415142,0.03510984557048633,0.042293165803965346,0.0585429404500094,0.03407740602262569,0.07837251215696057,0.03345890441384264
0.059496285913549586,0.0633553939664768,0.10422525862963612,0.06816283103454668,0.06557465053027085,0.07279084741326192,0.09322617274368943,0.13393682081104466,0.04474395132248366,0.10992354599669386,0.20907840221956656,0.04121323672061964,0.08925914262432373,0.037457832057125905,0.03611374919624721,0.02716091078695072,0.03176075690854196,0.03414839143344441,0.03565992235267216,0.034783222568027065,0.029818820178372313,0.03853880678885618,0.030808801222301434
0.07348604451906127,0.058360931606941106,0.10413284014760532,0.06433686441913002,0.06348118463542056,0.0636897552560725,0.09231133463311601,0.14309242745990292,0.042812548483239884,0.11023271755959503,0.19793261793436218,0.036248995800137455,0.0890934244173221,0.027989732764271493,0.02877277938832067,0.026057601485695737,0.023567295131387302,0.03436162616348008,0.03195586490009888,0.02769310147140336,0.0269980588140089,0.03368474240342896,0.028454302287726826
0.06743789060779062,0.04976754339510378,0.10641999664748901,0.06374066251904019,0.06259818823284283,0.060652763581878134,0.09045397444934644,0.14308871630991105,0.031967105299087605,0.08648971811974829,0.200060378202101,0.03206558772481842,0.07566956266873134,0.027232798829119106,0.028265009047011347,0.02634742019568785,0.023934711782023683,0.022058023816914088,0.02642858598490912,0.026620391657286982,0.027166289020195442,0.027383746282999732,0.028010294024213348
0.07281430729929407,0.04608456865875959,0.10638938773833811,0.07082204173319712,0.06382743822704681,0.06497054032460818,0.09024542625242818,0.14675771756682857,0.03119162282565606,0.08351637397753107,0.19249143161858942,0.03190503021849325,0.07699927084686305,0.01750943677986983,0.018328137549533444,0.019794921635569847,0.021737847505536863,0.0200330083452219,0.026388252284789266,0.025003725511626065,0.017312546822136447,0.02551410218184608,0.02240805404027315
0.07207289942674366,0.0256516683800043,0.10664992508961015,0.06277630087320347,0.06395238866463265,0.06526951769883327,0.0769378619799987,0.1467541192370228,0.028158102614826465,0.08091660124761044,0.19236592034306663,0.023800514165526927,0.07650347545346786,0.016537957552852568,0.017529176446181932,0.01681778833667006,0.021662464494252263,0.018605561799416696,0.022722967143308598,0.020138075451731255,0.017244978403680167,0.015225539799443234,0.015542736883663543
0.08716651212250781,0.025044387995346792,0.10691651138985878,0.06405902909702886,0.06319834216719696,0.06625183237599994,0.07826107288841275,0.14477640403150324,0.022644725092248626,0.08244522950478221,0.1934864661946515,0.020470200562130336,0.0756056102814749,0.014998250997052084,0.015376642248432817,0.01642444872611281,0.016889412833272704,0.017512447875322423,0.020754371536639987,0.015991576514813238,0.013765988226882003,0.015336386483824084,0.014699540822967691
0.08472537426020278,0.022363620425781005,0.10654039236309401,0.06310081786439405,0.06385238938138493,0.06667733179885366,0.0777526939101714,0.14005121336126508,0.02180803298031693,0.08050320046033901,0.1956439515827372,0.018353429666462938,0.07360546521187157,0.013631351911742433,0.014009456647406422,0.01542756471086849,0.016150044397396684,0.016577781758056447,0.019221538092269848,0.013262193091662799,0.012805109784927722,0.013507985351724075,0.013620377090927243
0.08464447950017133,0.01900309952803222,0.09643839525597594,0.05911090256819555,0.06485666223883023,0.06854141596284272,0.07684810029196064,0.13990979886031535,0.020594005379008233,0.08161349942858619,0.19553192046260287,0.016346199006541887,0.07132641530010812,0.013568157595761993,0.013865591392793112,0.013089070122242443,0.013766970892450976,0.014508110495131205,0.014436570851562542,0.01250000276542113,0.012283104600337033,0.01357295388275646,0.012331004051539165
0.08128021300195096,0.018332007536912942,0.0914140852201574,0.058908324405322655,0.06423200028065652,0.06676970589653909,0.07484530145136895,0.13995342800383495,0.01715258745300511,0.08144261955349928,0.18523077633726379,0.016269841342750092,0.07214679531894826,0.013641188942054175,0.013412033584166358,0.010769458592130594,0.011234094080040842,0.013131270185292511,0.013424897805016937,0.011921570089708101,0.011711652986782737,0.013319747964481442,0.01147583585628039
