Strategy,AvgTotalReduction
Random+Min Comp,267.54166666666663
Random+Max Comp,260.1111111111111
Random+K-Center,255.79166666666666
Random+K-Means,253.66666666666669
Random+ODAL,252.7361111111111
Random+FPS,252.66666666666666
Random+LHS,247.09722222222223
Random+T5S,245.79166666666666
Random+Cent_sat_low,245.65277777777777
Random+Cent_sat_med,245.23611111111111
Random+Cent_sat_high,243.625
