Iteration,MAE
0,0.011516017239478444
1,0.00751155335405165
2,0.0072597505264423105
3,0.007233463254707827
4,0.007375801156331927
5,0.007648642043049876
6,0.00765041880724368
7,0.007575368412620707
8,0.007597101114744574
9,0.007516999994116281
10,0.007438449952434245
11,0.009115379863057665
12,0.009019166669714399
13,0.009008352314202396
14,0.008989717930220667
15,0.009011406923973356
16,0.008996171987716796
17,0.008992043299791072
18,0.008969746845182673
19,0.008951675032840717
20,0.008977457138176534
21,0.008931415650622075
22,0.008929469247736398
23,0.008928139454910146
24,0.007731262090115422
25,0.007644307429838023
26,0.007587884188886269
27,0.007221848501589265
28,0.007273484071632984
29,0.007242994661594265
30,0.007241681838359419
31,0.007248938160246581
32,0.007241076202241519
33,0.007218733272798431
34,0.007264345861035696
35,0.007212899526272417
36,0.0072106170081150285
37,0.00723068028054861
38,0.0072175759716763405
39,0.0072097483808768875
40,0.0071556956011642105
41,0.007139177258123614
42,0.00714753842298232
43,0.007147464179145707
44,0.006996788609223794
45,0.0069954566974396865
46,0.006993134065814039
47,0.006717251612850169
48,0.006690226401596266
49,0.0066879049918525234
50,0.006679830639190001
51,0.006640932992810832
52,0.006649331586178746
53,0.006695336121825612
54,0.006686256424160894
55,0.006683504387208737
56,0.0066774138108998135
57,0.0067019996928398716
58,0.0067007522865901005
59,0.006687709556600968
60,0.00668720568022562
61,0.006714947787271151
62,0.006659694898012953
63,0.006659326628783824
64,0.006647693269067008
65,0.006621018622027521
66,0.0066043249795889065
67,0.0066040207912874
68,0.006595912724027565
69,0.006414987040099296
70,0.006414833810926051
71,0.006382467443664783
72,0.0063550128834513496
73,0.006351089384008136
74,0.006343822326458768
75,0.00636385637556846
76,0.006307021293591256
77,0.006307019084649105
78,0.006133265642687592
79,0.006132072889084011
80,0.0061196411601176
81,0.006096388239510026
82,0.006083178403292406
83,0.006013679501002213
84,0.005967305174043009
85,0.00597436802520694
86,0.0059785323318861106
87,0.005977955545013968
88,0.005975599058488784
89,0.005898122154808666
90,0.005895246194992148
91,0.005879885433636718
92,0.005879298946884366
93,0.005862637875359
94,0.005854783626790977
95,0.005855807670244213
96,0.00579201503972351
97,0.005748738043428528
98,0.005748342857646334
99,0.00574613549343186
100,0.005743899636708404
