Iteration,MAE
0,0.010554069872692055
1,0.008905780553889079
2,0.008920450588141088
3,0.007928797660192367
4,0.007782786480358662
5,0.006774647013306789
6,0.006696718118044912
7,0.006613418221312638
8,0.006619933119664724
9,0.006628400833524205
10,0.006563677668444278
11,0.006581046177477917
12,0.006619956498227836
13,0.006611244843973136
14,0.006578531000429076
15,0.0065662511537881415
16,0.006575772778226386
17,0.006541166969337139
18,0.007997589397097124
19,0.007846499189522876
20,0.007772484526886978
21,0.007741798474714653
22,0.007804355286182622
23,0.00784663674128008
24,0.0077884921828352835
25,0.006382699492483862
26,0.00635943389748143
27,0.006351384354981231
28,0.0063468199344236375
29,0.006281042633347891
30,0.006167702393426153
31,0.006136535532840474
32,0.0061407766463992455
33,0.006118193631471706
34,0.0060933542048915495
35,0.006049767794794368
36,0.006057924959041503
37,0.006075506320862711
38,0.006074776363301359
39,0.006068244414296647
40,0.003467996157391918
41,0.0039059395269005833
42,0.0038331463530352035
43,0.0038246656413910237
44,0.0038013067094400266
45,0.003717250021475138
46,0.0037046016216717528
47,0.0036880103747098086
48,0.0036816702514843812
49,0.003673826431161871
50,0.003683993304509734
51,0.003683505668546405
