Top5Similarity,Max Comp,Min Comp,Centroids_saturation_high_seed_48,Centroids_saturation_medium_seed_48,Centroids_saturation_low_seed_48,Random_seed_48,LHS_seed_48,K-Means_seed_48,Farthest_seed_48,ODAL_seed_48,K-Center_seed_48,Random_seed_48+Top5Similarity,Random_seed_48+Max Comp,Random_seed_48+Min Comp,Random_seed_48+Centroids_saturation_high_seed_48,Random_seed_48+Centroids_saturation_medium_seed_48,Random_seed_48+Centroids_saturation_low_seed_48,Random_seed_48+LHS_seed_48,Random_seed_48+K-Means_seed_48,Random_seed_48+Farthest_seed_48,Random_seed_48+ODAL_seed_48,Random_seed_48+K-Center_seed_48
0.07234354055519311,0.07504593097866044,0.08161654610058176,0.05294801065998162,0.05816237035415902,0.05952131449775249,0.028791594462733598,0.06793754730494594,0.054878975061416695,0.026244645216674668,0.08591960597470223,0.02565005506851013,0.027520558902161613,0.02376798821854106,0.025016835088827922,0.025200612130528342,0.025410977803870482,0.025404310802944963,0.02415327781843402,0.03575815425788366,0.02408437680118869,0.02730158389355761,0.02300989527036025
0.04730184421274621,0.02850380278838986,0.02157563793958606,0.03311072885599198,0.032761469585130286,0.039772038044809326,0.022322013449712463,0.06787714653467031,0.04940665328907605,0.02416078399781783,0.08205067184116575,0.024829776717834984,0.02334833112702881,0.024566209242967017,0.015613154151514836,0.020953540448987316,0.021172580170490486,0.021199885935851794,0.021222750916516646,0.03656692661416048,0.022117494236624503,0.021083082040754618,0.02226151500213233
0.041137814129485924,0.027275667179007954,0.022946535968320376,0.03274143020223744,0.032302079549557466,0.03896107696342084,0.022275845678930026,0.0504474190406015,0.04411642265928698,0.02976043627647952,0.042770663690718226,0.02431775800500738,0.02414818499656051,0.024556048480140084,0.014647203114405701,0.02086976976241871,0.021087257153932257,0.021108345947449113,0.020943152705520725,0.017528515968645145,0.022901361956804336,0.020978406924107972,0.022219597113054525
0.0405174711421794,0.021864549529311803,0.02570294595488223,0.0362104156898411,0.03804192506613536,0.040371961100771785,0.023075576177395796,0.05046757332077409,0.04343989331801295,0.02962595642166206,0.043942200892803214,0.02235174039688036,0.02414049379897357,0.024373696720213375,0.017154757846037087,0.020861391456876176,0.021078917412831157,0.021100030449245008,0.014926407038200843,0.01624628501016936,0.023887119822321334,0.021778115488047287,0.022222633858515698
0.039666149304584085,0.022091091835340113,0.030066057555905825,0.0368182535525641,0.03821161149861539,0.04000128498538373,0.02306732293523411,0.0493154100334479,0.044450344378053,0.02763014470415952,0.045968346760626735,0.023608163341981354,0.02395366432798143,0.024460598274354976,0.018564763246476088,0.020949587229037864,0.023144374796272474,0.022076264356747102,0.014843108208443055,0.019610139016104165,0.023770048576219234,0.021769767404500737,0.02208927036140525
0.03855339014924107,0.02204634857902159,0.03285337151698054,0.036988848489462094,0.03820056617209688,0.03867356080493823,0.022875370042712232,0.04411957898585835,0.04444549374424518,0.02715265676688714,0.04588549460351998,0.027015615508283408,0.024041796461608107,0.02392330694083137,0.018664951140664382,0.02118676367544979,0.02323259740220067,0.0221645433317358,0.017141012084594794,0.020365785728779024,0.02421723786490728,0.021857982905731713,0.02254131707553152
0.03838113157540323,0.022584894320604995,0.031025704016886962,0.037538797232729855,0.03593164933607359,0.03872102399986565,0.022961837117289816,0.04190614578009651,0.04451920477425499,0.030757196521129182,0.04529991010747305,0.028084068952174416,0.023886830974205776,0.023767394214637794,0.014898782147132906,0.022585190622266896,0.024631843454831496,0.023564281758180244,0.017374322864372207,0.018444810179724578,0.024545213525095297,0.02218964913132693,0.02242379120700863
0.03856554270097665,0.024190558080878874,0.03329835114604668,0.03531942787998994,0.03429901066256194,0.0384071194798385,0.024348431547235594,0.04186933588138817,0.04453585006792948,0.030487371420037296,0.044742513189792,0.02898703770044308,0.024217996200461528,0.024097808399799282,0.015464279333609287,0.02253719931042605,0.02447694654687565,0.026560454084921435,0.018075144456241914,0.019304508994213064,0.024477828061569618,0.022276535660015036,0.019669415910830414
0.03838553552448376,0.023653071432630665,0.03128495897098623,0.03616757510741019,0.03490432753663175,0.0387782378181718,0.024189141306240208,0.04226596753654159,0.04425572607119613,0.03109002051242714,0.04170772816761637,0.030254488275864785,0.02424463753391708,0.024124206751138855,0.015000513029557351,0.023149141969285504,0.025165629631757006,0.026583390891244296,0.017604773023240677,0.012093822696057594,0.02505519473243322,0.022334301939051615,0.022696180330396908
0.03845131120358468,0.02350158001708673,0.031176223873104956,0.03605901289323117,0.035635783792843705,0.03777236464765917,0.024515685611430055,0.041134842517352464,0.04421865596283574,0.03135376998700451,0.04200619267835313,0.027227470254134117,0.02389327220757037,0.024146068442755526,0.014862175366420975,0.023171880067126324,0.025188481732521174,0.026588882876289938,0.015119281014140937,0.012089284113586457,0.024217400396411043,0.022346960471127695,0.02293342567086738
