Strategy,StoppingIteration,GradientStableIteration
Top5Similarity,100,43.0
Max Comp,34,30.0
Min Comp,31,30.0
Centroids_saturation_high_seed_43,100,
Centroids_saturation_low_seed_43,55,55.0
Centroids_saturation_medium_seed_43,100,
Random_seed_43,100,
LHS_seed_43,100,
K-Means_seed_43,49,46.0
Farthest_seed_43,100,30.0
ODAL_seed_43,100,
K-Center_seed_43,100,
Random_seed_43+Top5Similarity,65,65.0
Random_seed_43+Max Comp,55,55.0
Random_seed_43+Min Comp,41,41.0
Random_seed_43+Centroids_saturation_high_seed_43,91,91.0
Random_seed_43+Centroids_saturation_low_seed_43,81,81.0
Random_seed_43+Centroids_saturation_medium_seed_43,86,86.0
Random_seed_43+LHS_seed_43,100,66.0
Random_seed_43+K-Means_seed_43,85,85.0
Random_seed_43+Farthest_seed_43,36,36.0
Random_seed_43+ODAL_seed_43,100,60.0
Random_seed_43+K-Center_seed_43,100,
