Strategy,StoppingIteration,GradientStableIteration
Top5Similarity,100,
Max Comp,36,36.0
Min Comp,92,54.0
Centroids_saturation_low_seed_49,100,
Centroids_saturation_medium_seed_49,100,
Centroids_saturation_high_seed_49,100,
Random_seed_49,100,
LHS_seed_49,100,
K-Means_seed_49,100,
Farthest_seed_49,46,46.0
ODAL_seed_49,82,46.0
K-Center_seed_49,41,41.0
Random_seed_49+Top5Similarity,100,
Random_seed_49+Max Comp,49,49.0
Random_seed_49+Min Comp,42,42.0
Random_seed_49+Centroids_saturation_low_seed_49,100,
Random_seed_49+Centroids_saturation_medium_seed_49,100,
Random_seed_49+Centroids_saturation_high_seed_49,100,
Random_seed_49+LHS_seed_49,100,
Random_seed_49+K-Means_seed_49,59,59.0
Random_seed_49+Farthest_seed_49,79,79.0
Random_seed_49+ODAL_seed_49,53,53.0
Random_seed_49+K-Center_seed_49,69,69.0
