Strategy,StoppingIteration,GradientStableIteration
Top5Similarity,100,36.0
Max Comp,100,
Min Comp,74,32.0
Centroids_saturation_medium_seed_42,100,
Centroids_saturation_low_seed_42,100,
Centroids_saturation_high_seed_42,100,
Random_seed_42,100,55.0
LHS_seed_42,100,60.0
K-Means_seed_42,100,30.0
Farthest_seed_42,100,45.0
ODAL_seed_42,90,30.0
K-Center_seed_42,100,94.0
Random_seed_42+Top5Similarity,100,81.0
Random_seed_42+Max Comp,100,55.0
Random_seed_42+Min Comp,51,37.0
Random_seed_42+Centroids_saturation_medium_seed_42,100,72.0
Random_seed_42+Centroids_saturation_low_seed_42,77,77.0
Random_seed_42+Centroids_saturation_high_seed_42,100,73.0
Random_seed_42+LHS_seed_42,73,73.0
Random_seed_42+K-Means_seed_42,100,35.0
Random_seed_42+Farthest_seed_42,100,41.0
Random_seed_42+ODAL_seed_42,100,33.0
Random_seed_42+K-Center_seed_42,100,60.0
