Strategy,StoppingIteration,GradientStableIteration
Top5Similarity,100,36.0
Max Comp,100,
Min Comp,74,32.0
Centroids_saturation_medium_seed_45,100,
Centroids_saturation_low_seed_45,100,86.0
Centroids_saturation_high_seed_45,100,
Random_seed_45,100,68.0
LHS_seed_45,100,
K-Means_seed_45,100,35.0
Farthest_seed_45,100,56.0
ODAL_seed_45,100,30.0
K-Center_seed_45,100,
Random_seed_45+Top5Similarity,100,
Random_seed_45+Max Comp,100,
Random_seed_45+Min Comp,61,42.0
Random_seed_45+Centroids_saturation_medium_seed_45,55,39.0
Random_seed_45+Centroids_saturation_low_seed_45,62,43.0
Random_seed_45+Centroids_saturation_high_seed_45,100,44.0
Random_seed_45+LHS_seed_45,100,
Random_seed_45+K-Means_seed_45,100,
Random_seed_45+Farthest_seed_45,100,
Random_seed_45+ODAL_seed_45,52,43.0
Random_seed_45+K-Center_seed_45,97,44.0
