Strategy,Average_StoppingIteration
Top5Similarity,100.0
Max Comp,36.0
Min Comp,92.0
Centroids_saturation_low,100.0
Centroids_saturation_medium,100.0
Centroids_saturation_high,100.0
Random,90.8
LHS,100.0
K-Means,87.9
Farthest,64.2
ODAL,92.1
K-Center,53.6
Random+Top5Similarity,90.0
Random+Max Comp,53.8
Random+Min Comp,46.6
Random+Centroids_saturation_low,94.9
Random+Centroids_saturation_medium,93.2
Random+Centroids_saturation_high,94.9
Random+LHS,95.8
Random+K-Means,70.3
Random+Farthest,66.9
Random+ODAL,63.9
Random+K-Center,63.1
