Iteration,MAE
0,0.016485424790787302
1,0.01681443561772017
2,0.016433443308437965
3,0.01579535314364227
4,0.015632892660136708
5,0.011661550692413253
6,0.009568721004472236
7,0.009657846360045894
8,0.009673800528320316
9,0.009461811350775817
10,0.00828841644712862
11,0.008330692240711703
12,0.008273835994244451
13,0.007422736155460536
14,0.007459464409843616
15,0.007289132698584127
16,0.007297891580300139
17,0.00744786509682904
18,0.0074633506695294324
19,0.007471405044846226
20,0.007521034425582049
21,0.007129550416472482
22,0.007129505033726369
23,0.007092889170830752
24,0.007016703573109502
25,0.006949989480365614
26,0.006946656878350162
27,0.006745564891247071
28,0.006751520472226351
29,0.006699727328926344
30,0.006587008243298313
31,0.0065809933949749775
32,0.006503706590054351
33,0.006502348150305914
34,0.006292124333496363
35,0.006228495351402116
36,0.0061865626035361825
37,0.00595732107056266
38,0.005927852345789094
39,0.005994520458511394
40,0.0059923683037817555
41,0.0059984845115975795
42,0.0060003740369798195
43,0.005824369090810151
44,0.005801760305821733
45,0.00570927503973492
46,0.0057127145429894215
47,0.005670981983537315
48,0.0056436328532074405
49,0.005643446755735563
50,0.005556887228521892
51,0.005462151357562796
52,0.005454037812166628
53,0.005405093942289454
54,0.005415798089010165
55,0.005366235317247307
56,0.005347676239071891
57,0.005378814243742135
58,0.005392492320470315
59,0.00538136494679305
60,0.00538468225670254
61,0.005377860262705622
62,0.005365468892807982
63,0.005488937377917747
64,0.005421087941896814
65,0.005340900524394718
66,0.005337626199838012
67,0.005234757310507268
68,0.005232206287469507
69,0.0052281377928763305
70,0.005157063568501013
71,0.005119296035608596
72,0.005113507585035729
73,0.005097237682501048
74,0.00506741646547482
75,0.005002298549017154
76,0.0049995125769837214
