Iteration,MeanMAE
0,0.035434335218729116
1,0.033331104922787055
2,0.030238344400079543
3,0.027460216005795745
4,0.027018435656161865
5,0.0265095698577351
6,0.02554359178842695
7,0.024304240334163164
8,0.022264220632171938
9,0.019917730130141833
10,0.018684848984973166
11,0.018536794546944707
12,0.01812905451306519
13,0.018077165023121847
14,0.017808263125211003
15,0.017388827618684433
16,0.017316853340511498
17,0.01719952817736795
18,0.01709857230848327
19,0.01679932739857303
20,0.016636539028127877
21,0.01653030179250146
22,0.016481626780134255
23,0.016340752134339474
24,0.01614499371168819
25,0.015753486563426677
26,0.01546688114255009
27,0.015518247916843583
28,0.015399913223447876
29,0.015155200952429535
30,0.014985099127351801
31,0.014709426068167272
32,0.014514621809947389
33,0.01443067916862793
34,0.014376584930937334
35,0.01427085644848224
36,0.014228665623445599
37,0.014162167792132188
38,0.013988276393414465
39,0.01398714518483557
40,0.01385639958313821
41,0.013783831370279564
42,0.013613622536950004
43,0.013558066138911723
44,0.013453206890485866
45,0.013367429625857463
46,0.013289904444650452
47,0.01323386687527274
48,0.01316626197487029
49,0.013108415775777793
50,0.01310208446606077
51,0.013040464699352258
52,0.013002674327217878
53,0.01293261286991576
54,0.012965557047279386
55,0.012938186864887864
56,0.012865176523219442
57,0.01283657417009638
58,0.012725418649442752
59,0.012651058761112674
60,0.012527741257340755
61,0.01336038540756518
62,0.013332969726715937
63,0.01321813314747501
64,0.014208169535338896
65,0.014112201208069322
66,0.01404690066880164
67,0.01404442249723002
68,0.014011744692776194
69,0.014011752450400127
70,0.015285085722954868
71,0.015171806397925262
72,0.016867080652830643
73,0.01675813786476705
74,0.01677400111384905
75,0.016689500648260285
76,0.016672605570076892
77,0.01654096608836846
78,0.016518701293816208
79,0.016423892994498163
80,0.016222194313259945
81,0.016151472975826486
82,0.016121381759649736
83,0.016103591548446785
84,0.01602546696406892
85,0.016003346176805926
86,0.015978472365052152
87,0.01593958778039631
88,0.015857553284759993
89,0.015776753018727375
90,0.01571337348468432
91,0.015720913224485236
92,0.01565350483557063
93,0.0157229345220479
94,0.015667784722084504
95,0.015631991901489957
96,0.015563842307282463
97,0.01553334797861701
98,0.015453487421716518
99,0.015425356974251484
100,0.015432057766594502
