Strategy,StoppingIteration,GradientStableIteration
Top5Similarity,100,
Max Comp,75,75.0
Min Comp,100,46.0
Centroids_saturation_low_seed_42,100,
Centroids_saturation_medium_seed_42,100,
Centroids_saturation_high_seed_42,100,
Random_seed_42,100,45.0
LHS_seed_42,72,72.0
K-Means_seed_42,60,31.0
Farthest_seed_42,64,44.0
ODAL_seed_42,100,97.0
K-Center_seed_42,100,40.0
Random_seed_42+Top5Similarity,82,54.0
Random_seed_42+Max Comp,47,47.0
Random_seed_42+Min Comp,66,49.0
Random_seed_42+Centroids_saturation_low_seed_42,100,61.0
Random_seed_42+Centroids_saturation_medium_seed_42,73,73.0
Random_seed_42+Centroids_saturation_high_seed_42,100,
Random_seed_42+LHS_seed_42,74,74.0
Random_seed_42+K-Means_seed_42,74,44.0
Random_seed_42+Farthest_seed_42,81,81.0
Random_seed_42+ODAL_seed_42,84,46.0
Random_seed_42+K-Center_seed_42,100,69.0
