Strategy,StoppingIteration,GradientStableIteration
Top5Similarity,100,43.0
Max Comp,34,30.0
Min Comp,31,30.0
Centroids_saturation_high_seed_48,100,
Centroids_saturation_low_seed_48,100,
Centroids_saturation_medium_seed_48,100,58.0
Random_seed_48,100,54.0
LHS_seed_48,100,
K-Means_seed_48,100,91.0
Farthest_seed_48,100,
ODAL_seed_48,100,
K-Center_seed_48,100,
Random_seed_48+Top5Similarity,56,56.0
Random_seed_48+Max Comp,39,39.0
Random_seed_48+Min Comp,44,44.0
Random_seed_48+Centroids_saturation_high_seed_48,54,54.0
Random_seed_48+Centroids_saturation_low_seed_48,100,
Random_seed_48+Centroids_saturation_medium_seed_48,65,65.0
Random_seed_48+LHS_seed_48,100,
Random_seed_48+K-Means_seed_48,63,63.0
Random_seed_48+Farthest_seed_48,89,89.0
Random_seed_48+ODAL_seed_48,58,58.0
Random_seed_48+K-Center_seed_48,100,
