Strategy,StoppingIteration,GradientStableIteration
Top5Similarity,100,
Max Comp,100,35.0
Min Comp,100,59.0
Centroids_saturation_high_seed_47,100,
Centroids_saturation_low_seed_47,100,
Centroids_saturation_medium_seed_47,100,
Random_seed_47,100,43.0
LHS_seed_47,100,92.0
K-Means_seed_47,100,
Farthest_seed_47,100,43.0
ODAL_seed_47,100,
K-Center_seed_47,100,37.0
Random_seed_47+Top5Similarity,100,62.0
Random_seed_47+Max Comp,100,58.0
Random_seed_47+Min Comp,100,61.0
Random_seed_47+Centroids_saturation_high_seed_47,100,54.0
Random_seed_47+Centroids_saturation_low_seed_47,100,54.0
Random_seed_47+Centroids_saturation_medium_seed_47,100,55.0
Random_seed_47+LHS_seed_47,100,
Random_seed_47+K-Means_seed_47,100,
Random_seed_47+Farthest_seed_47,100,47.0
Random_seed_47+ODAL_seed_47,95,60.0
Random_seed_47+K-Center_seed_47,77,37.0
