Strategy,StoppingIteration,GradientStableIteration
Top5Similarity,100,
Max Comp,75,43.0
Min Comp,75,30.0
Centroids_saturation_medium_seed_47,80,54.0
Centroids_saturation_low_seed_47,100,81.0
Centroids_saturation_high_seed_47,100,80.0
Random_seed_47,64,32.0
LHS_seed_47,57,48.0
K-Means_seed_47,100,84.0
Farthest_seed_47,100,30.0
ODAL_seed_47,78,54.0
K-Center_seed_47,76,69.0
Random_seed_47+Top5Similarity,73,42.0
Random_seed_47+Max Comp,74,47.0
Random_seed_47+Min Comp,79,39.0
Random_seed_47+Centroids_saturation_medium_seed_47,81,40.0
Random_seed_47+Centroids_saturation_low_seed_47,74,41.0
Random_seed_47+Centroids_saturation_high_seed_47,66,44.0
Random_seed_47+LHS_seed_47,70,55.0
Random_seed_47+K-Means_seed_47,100,
Random_seed_47+Farthest_seed_47,68,39.0
Random_seed_47+ODAL_seed_47,71,43.0
Random_seed_47+K-Center_seed_47,79,48.0
