MaterialID,EvenlyStoppingIteration,ImprovedMixedCount,TotalMixedStrategies,ImprovedPercent
10272,42,7,66,10.61
10275,76,12,66,18.18
10304,100,60,66,90.91
10311,92,52,66,78.79
10403,100,25,66,37.88
10402,69,5,66,7.58
10399,85,35,66,53.03
10374,100,50,66,75.76
