Strategy,StoppingIteration,EvenlyStoppingIteration
Centroids_saturation_high+K-Center,51,76
K-Center+Centroids_saturation_high,51,76
Max Comp+Centroids_saturation_high,47,76
Centroids_saturation_high+Max Comp,47,76
Centroids_saturation_low+K-Center,47,76
K-Center+Centroids_saturation_low,47,76
Centroids_saturation_medium+K-Center,50,76
K-Center+Centroids_saturation_medium,50,76
Max Comp+Centroids_saturation_medium,49,76
Centroids_saturation_medium+Max Comp,49,76
Centroids_saturation_medium+Random,63,76
Random+Centroids_saturation_medium,63,76
K-Means+Farthest,46,76
Farthest+K-Means,46,76
LHS+Farthest,66,76
Farthest+LHS,66,76
Random+Farthest,62,76
Farthest+Random,62,76
ODAL+K-Center,49,76
K-Center+ODAL,49,76
Max Comp+K-Means,73,76
K-Means+Max Comp,73,76
Max Comp+LHS,64,76
LHS+Max Comp,64,76
