Strategy,StoppingIteration,EvenlyStoppingIteration
Centroids_saturation_high+K-Center,65,92
K-Center+Centroids_saturation_high,65,92
Centroids_saturation_high+K-Means,89,92
K-Means+Centroids_saturation_high,89,92
Max Comp+Centroids_saturation_high,72,92
Centroids_saturation_high+Max Comp,72,92
Min Comp+Centroids_saturation_high,41,92
Centroids_saturation_high+Min Comp,41,92
Centroids_saturation_high+ODAL,64,92
ODAL+Centroids_saturation_high,64,92
Top5Similarity+Centroids_saturation_high,79,92
Centroids_saturation_high+Top5Similarity,79,92
Centroids_saturation_low+Farthest,78,92
Farthest+Centroids_saturation_low,78,92
Centroids_saturation_low+K-Center,76,92
K-Center+Centroids_saturation_low,76,92
Max Comp+Centroids_saturation_low,51,92
Centroids_saturation_low+Max Comp,51,92
Min Comp+Centroids_saturation_low,45,92
Centroids_saturation_low+Min Comp,45,92
Centroids_saturation_low+ODAL,86,92
ODAL+Centroids_saturation_low,86,92
Top5Similarity+Centroids_saturation_low,76,92
Centroids_saturation_low+Top5Similarity,76,92
Centroids_saturation_medium+Farthest,83,92
Farthest+Centroids_saturation_medium,83,92
Centroids_saturation_medium+K-Center,63,92
K-Center+Centroids_saturation_medium,63,92
Centroids_saturation_medium+K-Means,78,92
K-Means+Centroids_saturation_medium,78,92
Max Comp+Centroids_saturation_medium,49,92
Centroids_saturation_medium+Max Comp,49,92
Min Comp+Centroids_saturation_medium,40,92
Centroids_saturation_medium+Min Comp,40,92
Centroids_saturation_medium+ODAL,62,92
ODAL+Centroids_saturation_medium,62,92
Top5Similarity+Centroids_saturation_medium,62,92
Centroids_saturation_medium+Top5Similarity,62,92
Farthest+K-Center,54,92
K-Center+Farthest,54,92
K-Means+Farthest,81,92
Farthest+K-Means,81,92
LHS+Farthest,77,92
Farthest+LHS,77,92
Max Comp+Farthest,46,92
Farthest+Max Comp,46,92
Min Comp+Farthest,53,92
Farthest+Min Comp,53,92
Farthest+ODAL,50,92
ODAL+Farthest,50,92
Random+Farthest,77,92
Farthest+Random,77,92
Top5Similarity+Farthest,55,92
Farthest+Top5Similarity,55,92
K-Means+K-Center,78,92
K-Center+K-Means,78,92
LHS+K-Center,76,92
K-Center+LHS,76,92
Max Comp+K-Center,52,92
K-Center+Max Comp,52,92
Min Comp+K-Center,40,92
K-Center+Min Comp,40,92
ODAL+K-Center,53,92
K-Center+ODAL,53,92
Random+K-Center,48,92
K-Center+Random,48,92
Top5Similarity+K-Center,43,92
K-Center+Top5Similarity,43,92
LHS+K-Means,74,92
K-Means+LHS,74,92
Max Comp+K-Means,59,92
K-Means+Max Comp,59,92
Min Comp+K-Means,58,92
K-Means+Min Comp,58,92
K-Means+ODAL,61,92
ODAL+K-Means,61,92
Max Comp+LHS,61,92
LHS+Max Comp,61,92
Min Comp+LHS,60,92
LHS+Min Comp,60,92
LHS+ODAL,67,92
ODAL+LHS,67,92
Top5Similarity+LHS,79,92
LHS+Top5Similarity,79,92
Max Comp+Min Comp,40,92
Min Comp+Max Comp,40,92
Max Comp+ODAL,43,92
ODAL+Max Comp,43,92
Max Comp+Random,47,92
Random+Max Comp,47,92
Top5Similarity+Max Comp,37,92
Max Comp+Top5Similarity,37,92
Min Comp+ODAL,42,92
ODAL+Min Comp,42,92
Min Comp+Random,47,92
Random+Min Comp,47,92
Top5Similarity+Min Comp,33,92
Min Comp+Top5Similarity,33,92
Random+ODAL,56,92
ODAL+Random,56,92
Top5Similarity+ODAL,47,92
ODAL+Top5Similarity,47,92
Top5Similarity+Random,89,92
Random+Top5Similarity,89,92
