Iteration,MAE
0,0.019345469022814983
1,0.01918121453234718
2,0.015232245972332298
3,0.015007136591921905
4,0.016994291937032533
5,0.019222612560639563
6,0.01973537656130788
7,0.019928882904091807
8,0.0181873709769873
9,0.016885033996761747
10,0.017372526179868626
11,0.0174303757791599
12,0.01739049628982524
13,0.01577658228897857
14,0.014985755590077704
15,0.01416996464804102
16,0.014028340881124222
17,0.011973369410950712
18,0.011804792257904739
19,0.01090544341664074
20,0.010898157308400049
21,0.010589889924445922
22,0.010449830049284832
23,0.010503369724034652
24,0.010340642411276496
25,0.010292929443912352
26,0.011252652064517638
27,0.010404052901133377
28,0.01039433464643505
29,0.010445516906258084
30,0.010372660519818019
31,0.010421426751938329
32,0.010378646879488636
33,0.009707040591253067
34,0.009935263184495212
35,0.009347638626095124
36,0.009125016902790547
37,0.00912036704389614
38,0.009138658925795557
39,0.009150043546724324
40,0.009105195936717955
41,0.00908709798584719
42,0.008872545395722152
43,0.008284071965700811
44,0.008235747082777536
45,0.007857974533897479
46,0.007813308179562243
47,0.00775035790407514
48,0.007668974212672264
49,0.007589051250998327
50,0.0074514592643885
51,0.007163493380429347
52,0.007045319525665113
53,0.00704914614991438
54,0.007030367532296282
55,0.007037076815239522
56,0.007035496407772312
57,0.006891536123427354
58,0.006881073073794301
59,0.006776472118143262
60,0.0063292358615875495
61,0.00632348126064747
62,0.006320594484172397
63,0.006319641309829929
64,0.006299498263066913
65,0.006254265565320929
66,0.006262816594123136
67,0.006246232715869184
68,0.006175835466295824
69,0.006146811062295253
70,0.005838555482116127
71,0.005678436866159372
72,0.005654212671891772
73,0.005484746026860385
74,0.005486372648701455
75,0.0054548840433041
76,0.0054504325598634575
77,0.0054417226829019975
78,0.005439508218335355
79,0.005420978607846981
80,0.005395996332092833
81,0.005394660380710633
82,0.005397072954814205
83,0.005347845527223164
84,0.00515903509023603
85,0.004699607689890126
