Dataset,Stopping Iteration,Gradient Stable Index,Initial Indices,Total Iterations
10272_Ag-Au-Pd_RT,36,36,"[128, 5, 198, 178, 338, 247, 122, 188, 253]",37
10275_Ag-Au-Pd-Pt-Rh_RT,100,41,"[128, 5, 198, 178, 338, 247, 122, 188, 253]",101
10304_Au-Pd-Pt-Rh_RT,78,40,"[128, 5, 198, 178, 338, 247, 122, 188, 253]",79
10311_Au-Pd-Pt-Rh-Ru_RT,99,99,"[128, 5, 198, 178, 338, 247, 122, 188, 253]",100
10403_Ag-Au-Cu-Pd-Pt_RT,100,55,"[128, 5, 198, 178, 338, 247, 122, 188, 253]",101
10402_Ag-Au-Pd-Pt_RT,100,40,"[128, 5, 198, 178, 338, 247, 122, 188, 253]",101
10399_Au-Cu-Pd-Pt_RT,84,56,"[128, 5, 198, 178, 338, 247, 122, 188, 253]",85
10374_Ir_Pd_Pt-Rh_Ru,51,51,"[128, 5, 198, 178, 338, 247, 122, 188, 253]",52
