Top5Similarity,Max Comp,Min Comp,Centroids_saturation_low_seed_48,Centroids_saturation_medium_seed_48,Centroids_saturation_high_seed_48,Random_seed_48,LHS_seed_48,K-Means_seed_48,Farthest_seed_48,ODAL_seed_48,K-Center_seed_48,Random_seed_48+Top5Similarity,Random_seed_48+Max Comp,Random_seed_48+Min Comp,Random_seed_48+Centroids_saturation_low_seed_48,Random_seed_48+Centroids_saturation_medium_seed_48,Random_seed_48+Centroids_saturation_high_seed_48,Random_seed_48+LHS_seed_48,Random_seed_48+K-Means_seed_48,Random_seed_48+Farthest_seed_48,Random_seed_48+ODAL_seed_48,Random_seed_48+K-Center_seed_48
0.08057529834429919,0.06119148871184588,0.03211519691518921,0.039748887965869985,0.036328302920785455,0.047071014249592584,0.027699406436411767,0.034557087274141904,0.023900781705494124,0.022272260309065484,0.18286845038017657,0.028190191565245576,0.02483643417150962,0.024097640439613273,0.030636312905618444,0.018844174772389446,0.022178495292246508,0.019471163551599804,0.024073286482535736,0.017476676243278207,0.0211787415477394,0.01834697420725332,0.018760497520700196
0.060206961155535456,0.06119457319014227,0.0327640489202832,0.040718902250685196,0.035250970310904475,0.047996333541597797,0.02723572601601697,0.03433488962573522,0.02314991980264489,0.021865698362541913,0.11604105678417612,0.029348501410292088,0.02212044680978497,0.026523796204778897,0.02548758400456397,0.019763626383514817,0.022639102371334718,0.019485406133290285,0.024325844766433326,0.016755834166494378,0.018126990279859482,0.017690818969052412,0.017980514783726923
0.06285311175805784,0.061191692642352656,0.04695544014524866,0.03893054297043598,0.025428260497161348,0.04064247793089126,0.020404217554283715,0.029692968928680043,0.02320537862110533,0.021595935413555468,0.09660618484212767,0.02507103268818275,0.019228639256328162,0.027509750606442975,0.027230979906185074,0.017143491835962504,0.01971843548471312,0.017279432647687495,0.020698322236763083,0.015144819249189484,0.018939907421519166,0.01859999438189665,0.017394433434658657
0.06491404922261937,0.06118753345627442,0.04518752305748325,0.04079760072636765,0.023637760469899738,0.041840660505164703,0.020938785463452417,0.025591811319841812,0.027229374752675804,0.025650458267705196,0.08235096582563664,0.027335213374631826,0.015433926252228596,0.028186207220937547,0.02478760148040838,0.017916041459936846,0.01639629478374879,0.0180556807019499,0.016534219094540916,0.017013313119747617,0.019428763360260875,0.016771065539787928,0.018435571961995183
0.06592113248249659,0.061183080546051545,0.04510959864688292,0.03970458358871671,0.023240619753487332,0.06522728174626438,0.019243608349270223,0.02554321429812553,0.02435951868518125,0.024409883246360495,0.08247133002661898,0.027858775883175868,0.017822459207451458,0.02368944477937502,0.025570003963083003,0.02286161772221271,0.017188755923860526,0.016875158109794782,0.014928830981723337,0.01883518528272111,0.01925372981222575,0.018412683097103394,0.018525269585957974
0.06691382872421202,0.0611781849990208,0.04112192212024196,0.018538311206091965,0.023263632659309176,0.06551612323392554,0.016131962203509084,0.019841325068207495,0.025978509499112526,0.023521855404727,0.07300038074076573,0.027410837978277824,0.01769210208040789,0.021791430127938015,0.02470170829506927,0.01659889342212225,0.01405320091305224,0.015471423784041734,0.016074268715423022,0.020037684663912616,0.020241309897682948,0.021728153059115657,0.018915685051164564
0.07216224316574966,0.06117279920000925,0.03879801663884786,0.017771049089878702,0.023216363617084512,0.06910201991899134,0.017471003939170875,0.01760971427160923,0.024393035852503117,0.027034744579023898,0.07334632635609101,0.027438245603231236,0.01966165401481625,0.022739546465557772,0.024624181896723014,0.016685055355363788,0.01537308819375052,0.016669796672454034,0.016549754367229087,0.019203159437707576,0.02067981907903076,0.020885396095292847,0.017655462082020783
0.07263482912356363,0.061167983284445615,0.038080506404749755,0.017249659684455566,0.029774824389916462,0.06492681259977189,0.018887247609761383,0.014588835536212564,0.0235757759317671,0.028463974058014832,0.07126962119247872,0.02580867568241675,0.01965348340411724,0.020966773295425036,0.023028220110994587,0.01586627146448922,0.016911601189337166,0.016984811573026216,0.016680573480785516,0.01940053981958475,0.020930845543484296,0.021675488600174212,0.01799190532537916
0.07347651719525815,0.06116361772218759,0.03808673888145169,0.015644034416159316,0.029866592759028806,0.06689620876504371,0.018850474566406372,0.01445577249783114,0.024256159237067542,0.029225306098112407,0.07132302707019296,0.026799814031991633,0.019280346536983718,0.019863401055027208,0.01607092515777032,0.01493486717069409,0.015558623679089976,0.016139597071224445,0.014507193872015257,0.0194168549861959,0.019792784925327024,0.021025493874613076,0.017487387746981324
0.07231148614067275,0.0611577574854118,0.03835743227783286,0.013417381702454916,0.029588239138077052,0.06056472665618717,0.01982353420784585,0.013466956025916844,0.02428117838700003,0.027136875484926284,0.07145377191845881,0.0265047108913502,0.019694601156568837,0.01936393576391915,0.015103416317648367,0.015256652196382316,0.016427565905557374,0.01645853409573805,0.014651385040619632,0.020388764477433506,0.017156397084962475,0.021237334020142103,0.018069014695505644
0.07033332763963042,0.06115181237589002,0.03737897861418183,0.013655516889288885,0.029823049730343214,0.060782761141614385,0.01904248347128773,0.013186005751322678,0.01971447634972716,0.027023212481087175,0.06902987291925017,0.022701003166949778,0.018921126051097168,0.015896063533246966,0.013805759428135769,0.016176043246816298,0.016742935265068454,0.01674186226127785,0.012878201033409063,0.02116410884499773,0.015938652929417707,0.020078466132511626,0.016990493790468467
0.06934397797055167,0.06114891623519854,0.037021877190892775,0.013871107515240464,0.02990418692452533,0.060548244195673874,0.018986325910937272,0.013229244205167601,0.01690364676559989,0.025255442850084846,0.06912620861428265,0.022157095339409048,0.018676814975254447,0.012269364082191913,0.01257162882532222,0.016039097386683875,0.015813474701624097,0.017146717797922144,0.012651005375214328,0.019666247425548455,0.01442857583593476,0.019961374133938798,0.016993683666803625
0.06970427904864268,0.061142680237725414,0.036208612969070304,0.013351941861887559,0.02990398525867932,0.059593517222266225,0.01842350522989484,0.013243519386793716,0.016153633747258103,0.024888130232857467,0.06888574970534263,0.021368887128249414,0.017557230835895648,0.010709013500730065,0.0113521144382209,0.01586975543653225,0.015868058458476244,0.015564448148186123,0.011327423131727963,0.019359377258172404,0.014368855375181422,0.019053539521682678,0.016099927523885747
0.07024369098618319,0.06113681244206015,0.03714679166691196,0.01372863753612511,0.0301077122376417,0.05986797355801088,0.018601973254542895,0.012559005101512756,0.015934786295307625,0.021365792869631414,0.06948691015920329,0.021139606338481984,0.01739085595194661,0.010238743788183916,0.011560767202259452,0.014362620785468646,0.016496257868202212,0.015469892881636076,0.011067060916353871,0.017154502624573534,0.014410684296334979,0.018798257270929247,0.01575786337529
0.07045603037597956,0.061131103674888505,0.03704125146545197,0.013130522043424186,0.03076109955028183,0.05986247304331213,0.017985586609476707,0.010748191997539312,0.01571036936273046,0.02020473660189074,0.06959617725681229,0.021495115523740765,0.016323599967959058,0.009171789081063737,0.010367568679189088,0.014642603289474355,0.016511202164373965,0.01709145874692777,0.010773964861384022,0.016453717589732755,0.014164880662625473,0.016908807679184207,0.011664199532398868
0.07032665473084664,0.061125204963715825,0.036779421514537135,0.011785307549137463,0.029034623600567012,0.05937782181487513,0.017814615873789526,0.010723928290323223,0.014388305953316395,0.0177677345746272,0.06845452454258057,0.021617495401225584,0.014792129516657586,0.008617733182125834,0.009400693580908273,0.01458459163970577,0.01745292796075403,0.015694275683377393,0.009816747933671316,0.015611515693414285,0.013150899873559432,0.015099516659872941,0.011449574203598543
0.07051576789946705,0.06111928766970668,0.035183858791815376,0.010493337194065326,0.029111060070579692,0.05929284215486197,0.01649110426765641,0.010732791624035525,0.01375774642531867,0.01793211086962757,0.07049459007872705,0.021354707189399667,0.014787436291666624,0.008482437815345299,0.009000769903776011,0.014423874176053383,0.014494963887344663,0.015966743375575743,0.009398552544256785,0.012520787122369,0.011254512170495948,0.01376537247352235,0.011588905630248622
0.07009258834240187,0.06111339978637773,0.03445722172674404,0.010465482828051872,0.0290305786251878,0.057964188600679374,0.01609195149971128,0.010298369430538475,0.013376001129074859,0.016283720654930212,0.06677590082878523,0.019840485081288085,0.014519735846354537,0.008163762945483032,0.008834962971805888,0.012352122874236026,0.014232750074297595,0.015976254847784817,0.009066012045926683,0.012356658837668481,0.011300497704901975,0.010619037301254672,0.01158243834850399
0.06921350207928684,0.06110836664888997,0.033649808378211014,0.010469621768094189,0.029026248644821645,0.0565830519504549,0.015341401865457247,0.010300928168983085,0.012637551666133885,0.015464367631152448,0.06694516198758214,0.016358872629883642,0.012931920125450707,0.007678082652338028,0.008505369749992508,0.012496335400381618,0.01388127018409271,0.015334591558494585,0.009016997189700619,0.012343759099378883,0.011327813276815011,0.010479183049476449,0.01190132261189084
0.06955470015276867,0.06110187457724926,0.03357713657955018,0.01043822440411638,0.028786875815505597,0.05203489817845389,0.012937360364314043,0.010298711042006385,0.01058770614995553,0.015723430334728287,0.06540064748917745,0.015682228741378795,0.012663547230300594,0.0071323503868033124,0.0074854149911091,0.01352732316740964,0.013878552829953225,0.013195255860691854,0.009020018869659158,0.012013577775615314,0.011315937558756213,0.010307134593213921,0.01192815960862966
0.06664763226228486,0.06109644869760382,0.032154643120599645,0.010407036544481782,0.0287115604206871,0.051298520251164895,0.012264050259357227,0.010039347508618507,0.010438131670158642,0.015819664481157972,0.06541767482541797,0.015565449089200609,0.012413851252306712,0.006424111411614298,0.007531214257402399,0.013412184456732671,0.013876997104484702,0.01329444610831739,0.009014896951443044,0.01197877514478092,0.010506318137601283,0.010430686782841654,0.011877621374657926
0.06484447667811906,0.06109006601034886,0.03118928350110599,0.010481283876811803,0.02871943302400524,0.0494501758548141,0.01190920065026393,0.009978950960472015,0.010598110785130501,0.0159603537511749,0.06538251353919013,0.015374638100080704,0.012406052603818652,0.006486803936224151,0.007501333050053396,0.013400512514101745,0.013633738562454265,0.012873345853677106,0.008935446713312693,0.011967650803324669,0.010140823809776902,0.01037801222014936,0.01208767628397516
0.06565628470431752,0.061084787680502184,0.030961704846140328,0.010086117076663442,0.028694856001091496,0.04929153628146056,0.011463546221620888,0.009356202738490358,0.01053877689165367,0.014608869312096245,0.06665579874061608,0.015517332102720308,0.011793993682928964,0.0064833903959446056,0.007271071443260444,0.013120424269400131,0.013402784081466931,0.012829565024959706,0.008932170632606382,0.012232167408913471,0.010145004284889224,0.010416358072960817,0.011932902371842925
