Top5Similarity,Max Comp,Min Comp,Centroids_saturation_medium_seed_48,Centroids_saturation_high_seed_48,Centroids_saturation_low_seed_48,Random_seed_48,LHS_seed_48,K-Means_seed_48,Farthest_seed_48,ODAL_seed_48,K-Center_seed_48,Random_seed_48+Top5Similarity,Random_seed_48+Max Comp,Random_seed_48+Min Comp,Random_seed_48+Centroids_saturation_medium_seed_48,Random_seed_48+Centroids_saturation_high_seed_48,Random_seed_48+Centroids_saturation_low_seed_48,Random_seed_48+LHS_seed_48,Random_seed_48+K-Means_seed_48,Random_seed_48+Farthest_seed_48,Random_seed_48+ODAL_seed_48,Random_seed_48+K-Center_seed_48
0.28129645648065055,0.10333505172334759,0.11098351220410128,0.08314250941821753,0.08308064086618096,0.11589704651781715,0.08190432337377469,0.08485379952931507,0.0676324503391557,0.09560010698804827,0.2505598180409443,0.06602492307435724,0.06716879153558211,0.03364642964070463,0.03841745004924374,0.041264642402926564,0.04220789735246193,0.036752785800843776,0.09283002192784638,0.04595525597937335,0.03338705386786924,0.04914863020718759,0.034159155987818234
0.059496285913549586,0.0633553939664768,0.10422525862963612,0.07182018668322714,0.07172965076671983,0.06810438221622171,0.06841000415898371,0.08411736733429061,0.043725602466341294,0.09151437690538765,0.2495376777782125,0.08808753331443049,0.06587944690641524,0.02944978622312993,0.033638388610360524,0.03988147992674286,0.04100086683299424,0.035227853653607664,0.0917948179624152,0.025173354327685908,0.02709629437137146,0.029848963358479856,0.021378759104093367
0.07348604451906127,0.058360931606941106,0.10413284014760532,0.06266028158315233,0.06267914600065266,0.06493908693955813,0.06674831598596166,0.06517096105239092,0.0719080643297009,0.09308783396423224,0.23689333564943238,0.08100249944285737,0.06444272572270585,0.02469729216962841,0.027050639747382563,0.031532494633405336,0.032501349386644646,0.03514168850477667,0.07290435293680382,0.025733542269343903,0.02440025197493538,0.02983292481179494,0.01571909687740531
0.06743789060779062,0.04976754339510378,0.10641999664748901,0.06177745297990335,0.06179639807573502,0.0628492989687607,0.0653602084436466,0.06315754484644918,0.07209088202536361,0.07963876964373766,0.23618140558765313,0.07849002784794942,0.06780381053776446,0.019743023961889313,0.023043327686723587,0.022535432050715863,0.03279843451728537,0.03548612841664069,0.06711952014411444,0.02424747059339736,0.020523160891754117,0.02484927202058832,0.01478947443512036
0.07281430729929407,0.04608456865875959,0.10638938773833811,0.06275565855664594,0.06302585133783112,0.06225696521537959,0.06378674043667494,0.06324486354547858,0.07286947214283519,0.07673442281369258,0.21369784028214586,0.07660539668521142,0.0679475575946604,0.017924585000245404,0.021352568216679618,0.02242603065540146,0.023400278640007738,0.028676574759788048,0.06725782078525029,0.022854866884673246,0.020196578811406317,0.02323021228597878,0.015695309514306328
0.07207289942674366,0.0256516683800043,0.10664992508961015,0.06398057401618015,0.06419990999215164,0.06718764363817792,0.06393101015837187,0.0651893721731754,0.07120004204983514,0.0719455671612603,0.2005026537482585,0.07673386692413928,0.0760370518818922,0.015519562123591985,0.018619396891318262,0.02257050720495778,0.023511104475154716,0.025417796870142954,0.06460234038465473,0.020607444507327457,0.014951460165433642,0.021199114897968004,0.01532235457214745
0.08716651212250781,0.025044387995346792,0.10691651138985878,0.06323055318929088,0.06344550645561785,0.0673090024989767,0.07201741748834248,0.06609650533190796,0.07125880479339132,0.07102022947914474,0.20067338657502132,0.07701256354111853,0.07682501818578452,0.01111042071537407,0.015720273397931417,0.017773769416141685,0.018711679401884673,0.021562485620131727,0.06442965648032772,0.019163888839443498,0.013778945703025285,0.02083334738478732,0.014455583268888402
0.08472537426020278,0.022363620425781005,0.10654039236309401,0.06388342885299331,0.06409935746634345,0.06552834658021169,0.0728066443091668,0.06344176363361075,0.0677844573138644,0.07070866689797635,0.20413997335863465,0.08216768639810831,0.07669050136715665,0.011107904123654087,0.011601149400942633,0.015965511727942965,0.016359298840362566,0.021136123076635493,0.06521055110138155,0.018384779556727706,0.012535444827182702,0.015514384581534467,0.014631401800042533
0.08464447950017133,0.01900309952803222,0.09643839525597594,0.06466745194653466,0.06256182816641555,0.0654898191120873,0.07266447619453159,0.06325060755201173,0.06764381487392428,0.07030885519642287,0.2176386645579987,0.08103022250894286,0.07458968595175937,0.010297671586627763,0.010619545537133653,0.014383107755221365,0.014750840992645543,0.01974608074699555,0.06526640736664381,0.014806657712830004,0.012800884626411805,0.015061026699541843,0.01189489682794639
0.08128021300195096,0.018332007536912942,0.0914140852201574,0.0633485213736368,0.06275761299565873,0.06448452786892668,0.07465334959063645,0.06323217147696195,0.06815435827183475,0.07519321532987143,0.2206252858229024,0.07939159486838972,0.07464542308889428,0.010293493001132241,0.01016310478341823,0.013539595874775521,0.013898021531810155,0.018938106893563993,0.06517186310951355,0.013948981721793942,0.012822662697189577,0.014527487423443862,0.011306663263034457
