Random_seed_42,Random_seed_43,Random_seed_44,Random_seed_45,Random_seed_46,Random_seed_47,Random_seed_48,Random_seed_49,Random_seed_50,Random_seed_51
0.05676470678096283,0.02110969794310052,0.016353128746709068,0.04035681717595903,0.03058482718483845,0.020992810391709152,0.018780880961983284,0.02049594232602724,0.029009801492708577,0.02257877832114791
0.04178489539610124,0.024168293197205006,0.016632150654983698,0.026415637837465526,0.020129830807124237,0.02033309860423816,0.017130733408776997,0.023726020851240398,0.024665250548191464,0.022452035910653277
0.041972159245149215,0.023628665228678614,0.018280437684213408,0.026325465639784138,0.018501594801237503,0.020118007559125045,0.01980746977252514,0.023277294000354005,0.02593676276306482,0.02222588582338713
0.03938796687100959,0.02231667238014475,0.02353309449736452,0.00962086468012949,0.01868215057967617,0.018832865276683767,0.018928814241102404,0.02489157568554738,0.02583718499503297,0.021233580205623895
0.03923978009879979,0.02229791964860384,0.02327812812908744,0.007870427594890872,0.02000191759362689,0.01944263745381453,0.021297991968505705,0.024717342348859892,0.025653405995879834,0.022914008483278316
0.036763837847989374,0.02168530747113191,0.028459169048137393,0.007367556325740965,0.020067481137819084,0.017806667363736338,0.021099365707607447,0.023774621266319174,0.02570905054328297,0.02309852334819788
0.037084196484478145,0.020749471124446313,0.029343270561241794,0.007598799399647723,0.020352189261243735,0.018002635317706094,0.021357484167683707,0.023948643885540175,0.025564163769080446,0.023349627621049092
0.03600963505125991,0.020613220487462402,0.022127602950797146,0.006932248657094288,0.020566816899066816,0.01759205463239417,0.021671711536071003,0.023767546197406342,0.0256324996469306,0.023421222838437658
0.0360082064777702,0.021666290818471264,0.021629363826062953,0.005412934137142609,0.02006217512028704,0.017957988590080295,0.02220719270971131,0.02295243287512816,0.02553156375266688,0.023418658173551085
0.036229128966007905,0.022224719862227543,0.021740656033110067,0.005356705945862221,0.019166422498692208,0.01780492075626949,0.022154922005224113,0.020699933044710263,0.02616626631613413,0.023402778481260315
0.036287341515394395,0.021737176930102062,0.01720305495211825,0.005131583893616055,0.019767145998508855,0.015437877557776222,0.022914227202966295,0.020976091548761275,0.02568091864631473,0.022847878282404515
0.03616019752239499,0.021470957678086846,0.015597812021425256,0.005047956138191796,0.01728116562015779,0.013824590572218,0.02271169304873201,0.018525235323069395,0.02702176602924499,0.022060448288900376
0.03598338724350152,0.018714265982336477,0.010393878543388364,0.005129356624665886,0.017706768176518794,0.010749584233824315,0.015147255031963819,0.01845483912802786,0.027020293032240048,0.02206710686264558
0.03630613836148844,0.014459069559165516,0.010423383478663173,0.005062532416291911,0.01635130202884362,0.010555849457930151,0.013847076303786026,0.01552743727663517,0.026413734215931878,0.021636741819784734
0.036379558994397244,0.014118300442422156,0.01042838368480719,0.004137553057924255,0.012905034657271152,0.010232438267748846,0.014284220863679992,0.010829930498254182,0.02595657234560426,0.02154333544411536
0.03632335318095483,0.013979311813460904,0.010809120541223492,0.004279378347179172,0.012889225174049453,0.009452102394822609,0.011012787636868113,0.009460799662118383,0.026135871104628502,0.021386086027748528
0.03616311322260362,0.011533872975440139,0.01069171986576685,0.004359781127000355,0.01287946361452439,0.00937033981808673,0.010413498584065092,0.008985086433714177,0.02653928551625337,0.02356301948242628
0.03643765689038145,0.010886556465321336,0.011198876672874444,0.004197481054604931,0.012777270147136513,0.009197977327268035,0.010319490137924348,0.009204227356574595,0.026257887699165237,0.02355697961730047
0.03664513515909957,0.010915349543859207,0.008056903612287015,0.004165989782662238,0.011930403167569601,0.008694758664862207,0.009060063354637053,0.008277777442037346,0.026001849177211146,0.023594884942230165
0.03666231513158554,0.0102314550945667,0.007875866275594919,0.004015778948916914,0.011770668708859155,0.008097112428294672,0.008140087493717477,0.007401125752330301,0.02387710229340516,0.023506474696810296
0.0366485558994477,0.007928870640062284,0.00758333372791991,0.004008801615807475,0.008642560114498266,0.007998970935924454,0.007552327731643877,0.007415552554236023,0.023720458171630474,0.02347563399511567
0.03648824697599891,0.007326161268006245,0.006947747658534312,0.0037700791802780477,0.008139775456732659,0.007767705826741439,0.007137717319032879,0.006260814036010834,0.0238441513623672,0.024532322614566494
0.03656988747013221,0.007334337347832658,0.006424427187226509,0.0036007109827809673,0.008032168081519804,0.007822501050911985,0.007076044670401487,0.006264542928286824,0.022038084449144166,0.02442228055870712
0.03653915393976776,0.006918441063231647,0.006184127139481276,0.0034664679453217237,0.006624006919446895,0.007001780330411215,0.006900795899143586,0.006011188053568655,0.022151424442508904,0.02418615657408006
0.036957653508664506,0.006916925636289533,0.006032756768233685,0.0036968127964351434,0.006453513740868212,0.006996107206164071,0.006991206671637532,0.006034042793772044,0.022149398778697524,0.023953850902344042
0.03686361501246089,0.006786098649826483,0.006040643381016693,0.003519213466425954,0.004448613584257722,0.006803629505024995,0.006264442920303726,0.0056680199867004165,0.02214740996641879,0.023878933427803343
0.03686043924297541,0.005983997755532616,0.0061676185491279295,0.0035180147390645533,0.004374256564436852,0.006778820352685043,0.006030968013313302,0.0057674947568677574,0.02197137222402406,0.02361209899577655
0.036898705141488346,0.00563067208033062,0.005870817342922382,0.003402342853832801,0.00428977069187249,0.006555707284243607,0.005679564663985878,0.0055641211120080825,0.021894951126826965,0.02342908235427505
0.037347230358525337,0.00537256248884691,0.005843101663588,0.0033922294948013957,0.004222664797855011,0.006427710927888102,0.005472424394842315,0.005374088486518855,0.02186663411531406,0.02345328180398965
0.03715366750637083,0.005079025168460436,0.005866851956323104,0.0033895917415719757,0.004228637960511262,0.006388052569176014,0.005449664330513315,0.005376284439946875,0.02173507819545433,0.02336903129098685
0.03709528357124751,0.005014772849052419,0.005783141216025963,0.003392130436809154,0.004112730084639471,0.0063660670709244725,0.005458371207925822,0.005158346186634943,0.021713891519757653,0.02377068043463977
0.037142587515459985,0.0048865328816011825,0.005669576695648323,0.0033469921622652703,0.004071355619387685,0.006383661734574218,0.0053006933063769746,0.0051716312093273145,0.021328093668916095,0.023833933589394687
0.0368505410782495,0.005048788275227019,0.005414540191851559,0.003265758433294612,0.004028257080243821,0.006105057708161343,0.005026885983049708,0.0051865652489873045,0.021100853437741197,0.023288100682434736
0.03649366142939074,0.005013289636202227,0.0052433888614435925,0.003120612104471133,0.003953883218092258,0.0060726616324243195,0.005025422300893439,0.005066568180812183,0.021210651205922665,0.02288200437983267
0.03611265767804113,0.004688209993241244,0.005220662519838754,0.0030188026541348324,0.0030903220070015746,0.005795974650745967,0.005108931901370753,0.004768705675139,0.02127660679758095,0.022767596919758163
0.035809932043609854,0.004693875484577543,0.005209677211118829,0.0030379415308808035,0.0030678138948194355,0.005813748932135808,0.005063897875980206,0.00471174855698896,0.020089616646297555,0.022713693943975276
0.035889255654562295,0.004720310556139321,0.0048980334395150515,0.0030378905396415893,0.003002327029160057,0.0057974267450774525,0.004987506008393898,0.004715772641966134,0.01956145336559956,0.0225212291329087
0.035898552772779806,0.0047064548213582675,0.004726912210941181,0.0030825702276401972,0.00293881033394253,0.005787835142793884,0.004718530832690091,0.00440943543218654,0.018697577269285046,0.022437988103730728
0.035933655991910986,0.004660389967529902,0.004181823730259697,0.0030474204973119736,0.0028288802598709743,0.0051759871589137025,0.004638551344028717,0.0044000254448247145,0.018696573119207516,0.02247470464582083
0.0355464706149021,0.004638662893336479,0.004112555115836604,0.003011366033289288,0.0026821840625667454,0.005148538101965013,0.004569344361082972,0.004406073509935554,0.018688660981498427,0.022382009263410368
0.03515155240601075,0.004529792452224537,0.004021332732752218,0.0029847353987084726,0.0026166941034016446,0.004851958055190014,0.00429842705508172,0.004401363411315647,0.018573044216661394,0.022385342026324702
0.0348886914439841,0.004447924000203842,0.004026333310310016,0.0028414061406266426,0.002613222866036099,0.004574062010628219,0.004257373648944557,0.004261398489362589,0.018562403861515246,0.02237886351888823
