MaterialLibrary,BaseStrategy,MixedWith,MixedStrategy,CanonicalMixedStrategy,BaseStoppingIteration,MixedStoppingIteration,ComparisonResult,ImprovementPercentage
10374,Centroids_saturation_high,K-Means,Centroids_saturation_high+K-Means,Centroids_saturation_high+K-Means,100,48,Improved,52.0
10374,Random,K-Means,Random+K-Means,K-Means+Random,100,35,Improved,65.0
10374,LHS,K-Means,K-Means+LHS,K-Means+LHS,100,65,Improved,35.0
10374,Farthest,K-Means,K-Means+Farthest,Farthest+K-Means,64,100,Worse,-36.0
10374,K-Center,K-Means,K-Means+K-Center,K-Center+K-Means,72,40,Improved,32.0
10374,ODAL,K-Means,K-Means+ODAL,K-Means+ODAL,59,50,Improved,9.0
10374,Centroids_saturation_low,K-Means,Centroids_saturation_low+K-Means,Centroids_saturation_low+K-Means,71,100,Worse,-29.0
10399,Centroids_saturation_high,K-Means,Centroids_saturation_high+K-Means,Centroids_saturation_high+K-Means,100,77,Improved,23.0
10399,Random,K-Means,Random+K-Means,K-Means+Random,74,75,Worse,-1.0
10399,Farthest,K-Means,K-Means+Farthest,Farthest+K-Means,76,100,Worse,-24.0
10399,K-Center,K-Means,K-Means+K-Center,K-Center+K-Means,70,72,Worse,-2.0
10399,ODAL,K-Means,K-Means+ODAL,K-Means+ODAL,67,100,Worse,-33.0
10399,Centroids_saturation_medium,K-Means,Centroids_saturation_medium+K-Means,Centroids_saturation_medium+K-Means,100,81,Improved,19.0
10399,Centroids_saturation_low,K-Means,Centroids_saturation_low+K-Means,Centroids_saturation_low+K-Means,100,69,Improved,31.0
10402,Centroids_saturation_high,K-Means,Centroids_saturation_high+K-Means,Centroids_saturation_high+K-Means,87,59,Improved,28.0
10402,K-Center,K-Means,K-Means+K-Center,K-Center+K-Means,100,84,Improved,16.0
10402,Centroids_saturation_low,K-Means,Centroids_saturation_low+K-Means,Centroids_saturation_low+K-Means,61,100,Worse,-39.0
10403,Random,K-Means,Random+K-Means,K-Means+Random,60,100,Worse,-40.0
10403,Farthest,K-Means,K-Means+Farthest,Farthest+K-Means,91,49,Improved,42.0
10403,K-Center,K-Means,K-Means+K-Center,K-Center+K-Means,79,100,Worse,-21.0
10403,ODAL,K-Means,K-Means+ODAL,K-Means+ODAL,45,100,Worse,-55.0
10403,Centroids_saturation_medium,K-Means,Centroids_saturation_medium+K-Means,Centroids_saturation_medium+K-Means,57,100,Worse,-43.0
10403,Centroids_saturation_low,K-Means,Centroids_saturation_low+K-Means,Centroids_saturation_low+K-Means,100,67,Improved,33.0
10311,Centroids_saturation_high,K-Means,Centroids_saturation_high+K-Means,Centroids_saturation_high+K-Means,100,89,Improved,11.0
10311,Random,K-Means,Random+K-Means,K-Means+Random,81,95,Worse,-14.0
10311,LHS,K-Means,LHS+K-Means,K-Means+LHS,90,74,Improved,16.0
10311,Farthest,K-Means,K-Means+Farthest,Farthest+K-Means,57,81,Worse,-24.0
10311,K-Center,K-Means,K-Means+K-Center,K-Center+K-Means,97,78,Improved,19.0
10311,ODAL,K-Means,K-Means+ODAL,K-Means+ODAL,30,61,Worse,-31.0
10311,Centroids_saturation_medium,K-Means,Centroids_saturation_medium+K-Means,Centroids_saturation_medium+K-Means,100,78,Improved,22.0
10304,Centroids_saturation_high,K-Means,Centroids_saturation_high+K-Means,Centroids_saturation_high+K-Means,100,77,Improved,23.0
10304,Random,K-Means,Random+K-Means,K-Means+Random,100,75,Improved,25.0
10304,LHS,K-Means,LHS+K-Means,K-Means+LHS,72,70,Improved,2.0
10304,Farthest,K-Means,K-Means+Farthest,Farthest+K-Means,74,80,Worse,-6.0
10304,K-Center,K-Means,K-Means+K-Center,K-Center+K-Means,76,59,Improved,17.0
10304,ODAL,K-Means,K-Means+ODAL,K-Means+ODAL,100,72,Improved,28.0
10304,Centroids_saturation_medium,K-Means,Centroids_saturation_medium+K-Means,Centroids_saturation_medium+K-Means,100,75,Improved,25.0
10304,Centroids_saturation_low,K-Means,Centroids_saturation_low+K-Means,Centroids_saturation_low+K-Means,100,73,Improved,27.0
10275,Random,K-Means,Random+K-Means,K-Means+Random,87,100,Worse,-13.0
10275,Farthest,K-Means,K-Means+Farthest,Farthest+K-Means,66,46,Improved,20.0
10275,K-Center,K-Means,K-Means+K-Center,K-Center+K-Means,73,100,Worse,-27.0
10275,ODAL,K-Means,K-Means+ODAL,K-Means+ODAL,78,100,Worse,-22.0
10272,Centroids_saturation_high,K-Means,Centroids_saturation_high+K-Means,Centroids_saturation_high+K-Means,100,60,Improved,40.0
10272,Random,K-Means,Random+K-Means,K-Means+Random,34,51,Worse,-17.0
10272,Farthest,K-Means,K-Means+Farthest,Farthest+K-Means,39,43,Worse,-4.0
10272,K-Center,K-Means,K-Means+K-Center,K-Center+K-Means,48,42,Improved,6.0
10272,ODAL,K-Means,K-Means+ODAL,K-Means+ODAL,47,57,Worse,-10.0
10272,Centroids_saturation_medium,K-Means,Centroids_saturation_medium+K-Means,Centroids_saturation_medium+K-Means,100,56,Improved,44.0
