MaterialLibrary,BaseStrategy,MixedWith,MixedStrategy,CanonicalMixedStrategy,BaseStoppingIteration,MixedStoppingIteration,ComparisonResult,ImprovementPercentage
10374,Centroids_saturation_high,Centroids_saturation_low,Centroids_saturation_high+Centroids_saturation_low,Centroids_saturation_high+Centroids_saturation_low,100,61,Improved,39.0
10374,Random,Centroids_saturation_low,Centroids_saturation_low+Random,Centroids_saturation_low+Random,100,40,Improved,60.0
10374,Farthest,Centroids_saturation_low,Centroids_saturation_low+Farthest,Centroids_saturation_low+Farthest,64,68,Worse,-4.0
10374,K-Center,Centroids_saturation_low,Centroids_saturation_low+K-Center,Centroids_saturation_low+K-Center,72,100,Worse,-28.0
10374,ODAL,Centroids_saturation_low,Centroids_saturation_low+ODAL,Centroids_saturation_low+ODAL,59,97,Worse,-38.0
10374,Centroids_saturation_medium,Centroids_saturation_low,Centroids_saturation_medium+Centroids_saturation_low,Centroids_saturation_low+Centroids_saturation_medium,100,66,Improved,34.0
10399,Random,Centroids_saturation_low,Centroids_saturation_low+Random,Centroids_saturation_low+Random,74,100,Worse,-26.0
10399,K-Means,Centroids_saturation_low,Centroids_saturation_low+K-Means,Centroids_saturation_low+K-Means,53,69,Worse,-16.0
10399,K-Center,Centroids_saturation_low,Centroids_saturation_low+K-Center,Centroids_saturation_low+K-Center,70,100,Worse,-30.0
10399,ODAL,Centroids_saturation_low,Centroids_saturation_low+ODAL,Centroids_saturation_low+ODAL,67,100,Worse,-33.0
10402,Centroids_saturation_high,Centroids_saturation_low,Centroids_saturation_high+Centroids_saturation_low,Centroids_saturation_high+Centroids_saturation_low,87,100,Worse,-13.0
10403,Random,Centroids_saturation_low,Centroids_saturation_low+Random,Centroids_saturation_low+Random,60,100,Worse,-40.0
10403,K-Means,Centroids_saturation_low,Centroids_saturation_low+K-Means,Centroids_saturation_low+K-Means,100,67,Improved,33.0
10403,Farthest,Centroids_saturation_low,Centroids_saturation_low+Farthest,Centroids_saturation_low+Farthest,91,100,Worse,-9.0
10403,K-Center,Centroids_saturation_low,Centroids_saturation_low+K-Center,Centroids_saturation_low+K-Center,79,97,Worse,-18.0
10403,ODAL,Centroids_saturation_low,Centroids_saturation_low+ODAL,Centroids_saturation_low+ODAL,45,52,Worse,-7.0
10403,Centroids_saturation_medium,Centroids_saturation_low,Centroids_saturation_medium+Centroids_saturation_low,Centroids_saturation_low+Centroids_saturation_medium,57,100,Worse,-43.0
10311,Random,Centroids_saturation_low,Centroids_saturation_low+Random,Centroids_saturation_low+Random,81,100,Worse,-19.0
10311,LHS,Centroids_saturation_low,Centroids_saturation_low+LHS,Centroids_saturation_low+LHS,90,100,Worse,-10.0
10311,Farthest,Centroids_saturation_low,Centroids_saturation_low+Farthest,Centroids_saturation_low+Farthest,57,78,Worse,-21.0
10311,K-Center,Centroids_saturation_low,Centroids_saturation_low+K-Center,Centroids_saturation_low+K-Center,97,76,Improved,21.0
10311,ODAL,Centroids_saturation_low,Centroids_saturation_low+ODAL,Centroids_saturation_low+ODAL,30,86,Worse,-56.0
10304,Centroids_saturation_high,Centroids_saturation_low,Centroids_saturation_high+Centroids_saturation_low,Centroids_saturation_high+Centroids_saturation_low,100,69,Improved,31.0
10304,Random,Centroids_saturation_low,Centroids_saturation_low+Random,Centroids_saturation_low+Random,100,73,Improved,27.0
10304,LHS,Centroids_saturation_low,Centroids_saturation_low+LHS,Centroids_saturation_low+LHS,72,67,Improved,5.0
10304,K-Means,Centroids_saturation_low,Centroids_saturation_low+K-Means,Centroids_saturation_low+K-Means,74,73,Improved,1.0
10304,Farthest,Centroids_saturation_low,Centroids_saturation_low+Farthest,Centroids_saturation_low+Farthest,74,68,Improved,6.0
10304,K-Center,Centroids_saturation_low,Centroids_saturation_low+K-Center,Centroids_saturation_low+K-Center,76,70,Improved,6.0
10304,ODAL,Centroids_saturation_low,Centroids_saturation_low+ODAL,Centroids_saturation_low+ODAL,100,67,Improved,33.0
10304,Centroids_saturation_medium,Centroids_saturation_low,Centroids_saturation_medium+Centroids_saturation_low,Centroids_saturation_low+Centroids_saturation_medium,100,80,Improved,20.0
10275,Random,Centroids_saturation_low,Centroids_saturation_low+Random,Centroids_saturation_low+Random,87,94,Worse,-7.0
10275,Farthest,Centroids_saturation_low,Centroids_saturation_low+Farthest,Centroids_saturation_low+Farthest,66,92,Worse,-26.0
10275,K-Center,Centroids_saturation_low,Centroids_saturation_low+K-Center,Centroids_saturation_low+K-Center,73,47,Improved,26.0
10275,ODAL,Centroids_saturation_low,Centroids_saturation_low+ODAL,Centroids_saturation_low+ODAL,78,89,Worse,-11.0
10272,Random,Centroids_saturation_low,Centroids_saturation_low+Random,Centroids_saturation_low+Random,34,100,Worse,-66.0
10272,LHS,Centroids_saturation_low,Centroids_saturation_low+LHS,Centroids_saturation_low+LHS,100,68,Improved,32.0
10272,Farthest,Centroids_saturation_low,Centroids_saturation_low+Farthest,Centroids_saturation_low+Farthest,39,55,Worse,-16.0
10272,K-Center,Centroids_saturation_low,Centroids_saturation_low+K-Center,Centroids_saturation_low+K-Center,48,62,Worse,-14.0
10272,ODAL,Centroids_saturation_low,Centroids_saturation_low+ODAL,Centroids_saturation_low+ODAL,47,94,Worse,-47.0
