MaterialLibrary,BaseStrategy,MixedWith,MixedStrategy,CanonicalMixedStrategy,BaseStoppingIteration,MixedStoppingIteration,ComparisonResult,ImprovementPercentage
10374,Centroids_saturation_high,Centroids_saturation_medium,Centroids_saturation_high+Centroids_saturation_medium,Centroids_saturation_high+Centroids_saturation_medium,100,63,Improved,37.0
10374,Random,Centroids_saturation_medium,Centroids_saturation_medium+Random,Centroids_saturation_medium+Random,100,46,Improved,54.0
10374,Farthest,Centroids_saturation_medium,Farthest+Centroids_saturation_medium,Centroids_saturation_medium+Farthest,64,83,Worse,-19.0
10374,K-Center,Centroids_saturation_medium,Centroids_saturation_medium+K-Center,Centroids_saturation_medium+K-Center,72,100,Worse,-28.0
10374,ODAL,Centroids_saturation_medium,Centroids_saturation_medium+ODAL,Centroids_saturation_medium+ODAL,59,100,Worse,-41.0
10374,Centroids_saturation_low,Centroids_saturation_medium,Centroids_saturation_medium+Centroids_saturation_low,Centroids_saturation_low+Centroids_saturation_medium,71,66,Improved,5.0
10399,Random,Centroids_saturation_medium,Centroids_saturation_medium+Random,Centroids_saturation_medium+Random,74,100,Worse,-26.0
10399,K-Means,Centroids_saturation_medium,Centroids_saturation_medium+K-Means,Centroids_saturation_medium+K-Means,53,81,Worse,-28.0
10399,Farthest,Centroids_saturation_medium,Centroids_saturation_medium+Farthest,Centroids_saturation_medium+Farthest,76,58,Improved,18.0
10399,K-Center,Centroids_saturation_medium,Centroids_saturation_medium+K-Center,Centroids_saturation_medium+K-Center,70,100,Worse,-30.0
10399,ODAL,Centroids_saturation_medium,Centroids_saturation_medium+ODAL,Centroids_saturation_medium+ODAL,67,87,Worse,-20.0
10402,Centroids_saturation_high,Centroids_saturation_medium,Centroids_saturation_high+Centroids_saturation_medium,Centroids_saturation_high+Centroids_saturation_medium,87,100,Worse,-13.0
10402,Random,Centroids_saturation_medium,Centroids_saturation_medium+Random,Centroids_saturation_medium+Random,100,90,Improved,10.0
10402,Centroids_saturation_low,Centroids_saturation_medium,Centroids_saturation_medium+Centroids_saturation_low,Centroids_saturation_low+Centroids_saturation_medium,61,100,Worse,-39.0
10403,Random,Centroids_saturation_medium,Centroids_saturation_medium+Random,Centroids_saturation_medium+Random,60,100,Worse,-40.0
10403,Farthest,Centroids_saturation_medium,Centroids_saturation_medium+Farthest,Centroids_saturation_medium+Farthest,91,100,Worse,-9.0
10403,K-Center,Centroids_saturation_medium,Centroids_saturation_medium+K-Center,Centroids_saturation_medium+K-Center,79,100,Worse,-21.0
10403,ODAL,Centroids_saturation_medium,Centroids_saturation_medium+ODAL,Centroids_saturation_medium+ODAL,45,100,Worse,-55.0
10311,Random,Centroids_saturation_medium,Centroids_saturation_medium+Random,Centroids_saturation_medium+Random,81,100,Worse,-19.0
10311,LHS,Centroids_saturation_medium,Centroids_saturation_medium+LHS,Centroids_saturation_medium+LHS,90,100,Worse,-10.0
10311,K-Means,Centroids_saturation_medium,Centroids_saturation_medium+K-Means,Centroids_saturation_medium+K-Means,100,78,Improved,22.0
10311,Farthest,Centroids_saturation_medium,Centroids_saturation_medium+Farthest,Centroids_saturation_medium+Farthest,57,83,Worse,-26.0
10311,K-Center,Centroids_saturation_medium,Centroids_saturation_medium+K-Center,Centroids_saturation_medium+K-Center,97,63,Improved,34.0
10311,ODAL,Centroids_saturation_medium,Centroids_saturation_medium+ODAL,Centroids_saturation_medium+ODAL,30,62,Worse,-32.0
10304,Centroids_saturation_high,Centroids_saturation_medium,Centroids_saturation_high+Centroids_saturation_medium,Centroids_saturation_high+Centroids_saturation_medium,100,59,Improved,41.0
10304,Random,Centroids_saturation_medium,Centroids_saturation_medium+Random,Centroids_saturation_medium+Random,100,68,Improved,32.0
10304,LHS,Centroids_saturation_medium,Centroids_saturation_medium+LHS,Centroids_saturation_medium+LHS,72,71,Improved,1.0
10304,K-Means,Centroids_saturation_medium,Centroids_saturation_medium+K-Means,Centroids_saturation_medium+K-Means,74,75,Worse,-1.0
10304,Farthest,Centroids_saturation_medium,Centroids_saturation_medium+Farthest,Centroids_saturation_medium+Farthest,74,72,Improved,2.0
10304,K-Center,Centroids_saturation_medium,Centroids_saturation_medium+K-Center,Centroids_saturation_medium+K-Center,76,91,Worse,-15.0
10304,ODAL,Centroids_saturation_medium,Centroids_saturation_medium+ODAL,Centroids_saturation_medium+ODAL,100,73,Improved,27.0
10304,Centroids_saturation_low,Centroids_saturation_medium,Centroids_saturation_medium+Centroids_saturation_low,Centroids_saturation_low+Centroids_saturation_medium,100,80,Improved,20.0
10275,Random,Centroids_saturation_medium,Centroids_saturation_medium+Random,Centroids_saturation_medium+Random,87,63,Improved,24.0
10275,Farthest,Centroids_saturation_medium,Centroids_saturation_medium+Farthest,Centroids_saturation_medium+Farthest,66,89,Worse,-23.0
10275,K-Center,Centroids_saturation_medium,Centroids_saturation_medium+K-Center,Centroids_saturation_medium+K-Center,73,50,Improved,23.0
10275,ODAL,Centroids_saturation_medium,Centroids_saturation_medium+ODAL,Centroids_saturation_medium+ODAL,78,90,Worse,-12.0
10272,Random,Centroids_saturation_medium,Random+Centroids_saturation_medium,Centroids_saturation_medium+Random,34,68,Worse,-34.0
10272,LHS,Centroids_saturation_medium,Centroids_saturation_medium+LHS,Centroids_saturation_medium+LHS,100,62,Improved,38.0
10272,K-Means,Centroids_saturation_medium,Centroids_saturation_medium+K-Means,Centroids_saturation_medium+K-Means,100,56,Improved,44.0
10272,Farthest,Centroids_saturation_medium,Centroids_saturation_medium+Farthest,Centroids_saturation_medium+Farthest,39,63,Worse,-24.0
10272,K-Center,Centroids_saturation_medium,Centroids_saturation_medium+K-Center,Centroids_saturation_medium+K-Center,48,63,Worse,-15.0
10272,ODAL,Centroids_saturation_medium,Centroids_saturation_medium+ODAL,Centroids_saturation_medium+ODAL,47,90,Worse,-43.0
