Strategy,StoppingIteration,EvenlyStoppingIteration
Centroids_saturation_high+Farthest,99,100
Farthest+Centroids_saturation_high,99,100
Max Comp+Centroids_saturation_high,47,100
Centroids_saturation_high+Max Comp,47,100
Top5Similarity+Centroids_saturation_high,98,100
Centroids_saturation_high+Top5Similarity,98,100
Centroids_saturation_low+K-Center,93,100
K-Center+Centroids_saturation_low,93,100
Min Comp+Centroids_saturation_low,94,100
Centroids_saturation_low+Min Comp,94,100
Centroids_saturation_low+ODAL,89,100
ODAL+Centroids_saturation_low,89,100
Centroids_saturation_low+Random,95,100
Random+Centroids_saturation_low,95,100
Centroids_saturation_medium+Farthest,98,100
Farthest+Centroids_saturation_medium,98,100
Centroids_saturation_medium+K-Center,97,100
K-Center+Centroids_saturation_medium,97,100
Max Comp+Centroids_saturation_medium,49,100
Centroids_saturation_medium+Max Comp,49,100
Min Comp+Centroids_saturation_medium,93,100
Centroids_saturation_medium+Min Comp,93,100
Centroids_saturation_medium+ODAL,90,100
ODAL+Centroids_saturation_medium,90,100
Centroids_saturation_medium+Random,93,100
Random+Centroids_saturation_medium,93,100
K-Means+Farthest,91,100
Farthest+K-Means,91,100
Max Comp+Farthest,74,100
Farthest+Max Comp,74,100
Farthest+ODAL,96,100
ODAL+Farthest,96,100
Max Comp+K-Center,97,100
K-Center+Max Comp,97,100
ODAL+K-Center,99,100
K-Center+ODAL,99,100
Random+K-Center,75,100
K-Center+Random,75,100
Top5Similarity+K-Center,76,100
K-Center+Top5Similarity,76,100
Max Comp+K-Means,73,100
K-Means+Max Comp,73,100
Top5Similarity+K-Means,83,100
K-Means+Top5Similarity,83,100
Max Comp+LHS,45,100
LHS+Max Comp,45,100
Min Comp+LHS,92,100
LHS+ODAL,83,100
ODAL+LHS,83,100
Random+LHS,46,100
LHS+Random,46,100
Top5Similarity+LHS,81,100
LHS+Top5Similarity,81,100
Top5Similarity+Min Comp,80,100
Min Comp+Top5Similarity,80,100
Random+ODAL,44,100
ODAL+Random,44,100
Top5Similarity+ODAL,92,100
ODAL+Top5Similarity,92,100
