Strategy,StoppingIteration,EvenlyStoppingIteration
Min Comp+Centroids_saturation_high,75,100
Centroids_saturation_high+Min Comp,75,100
Centroids_saturation_high+ODAL,92,100
ODAL+Centroids_saturation_high,92,100
Centroids_saturation_low+Farthest,93,100
Farthest+Centroids_saturation_low,93,100
Centroids_saturation_low+K-Means,67,100
K-Means+Centroids_saturation_low,67,100
Centroids_saturation_low+LHS,90,100
LHS+Centroids_saturation_low,90,100
Max Comp+Centroids_saturation_low,94,100
Centroids_saturation_low+Max Comp,94,100
Min Comp+Centroids_saturation_low,61,100
Centroids_saturation_low+Min Comp,61,100
Centroids_saturation_low+ODAL,52,100
ODAL+Centroids_saturation_low,52,100
Centroids_saturation_medium+LHS,84,100
LHS+Centroids_saturation_medium,84,100
Min Comp+Centroids_saturation_medium,62,100
Centroids_saturation_medium+Min Comp,62,100
Top5Similarity+Centroids_saturation_medium,90,100
Centroids_saturation_medium+Top5Similarity,99,100
K-Means+Farthest,35,100
Farthest+K-Means,35,100
Min Comp+Farthest,72,100
Farthest+Min Comp,72,100
Top5Similarity+Farthest,50,100
Farthest+Top5Similarity,50,100
Min Comp+K-Means,65,100
K-Means+Min Comp,65,100
Top5Similarity+K-Means,55,100
K-Means+Top5Similarity,55,100
Min Comp+LHS,64,100
LHS+Min Comp,64,100
LHS+ODAL,85,100
ODAL+LHS,85,100
Max Comp+Min Comp,69,100
Min Comp+Max Comp,69,100
Max Comp+ODAL,52,100
ODAL+Max Comp,52,100
Min Comp+ODAL,68,100
ODAL+Min Comp,68,100
Min Comp+Random,95,100
Random+Min Comp,95,100
Top5Similarity+Min Comp,70,100
Min Comp+Top5Similarity,70,100
Random+ODAL,60,100
ODAL+Random,60,100
