Strategy,StoppingIteration,EvenlyStoppingIteration
Centroids_saturation_high+Farthest,54,69
Farthest+Centroids_saturation_high,54,69
Centroids_saturation_high+K-Means,59,69
K-Means+Centroids_saturation_high,59,69
Centroids_saturation_low+Farthest,65,69
Farthest+Centroids_saturation_low,65,69
Centroids_saturation_medium+Farthest,58,69
Farthest+Centroids_saturation_medium,58,69
Min Comp+Centroids_saturation_medium,54,69
Centroids_saturation_medium+Min Comp,54,69
LHS+Farthest,58,69
Farthest+LHS,58,69
LHS+K-Means,59,69
K-Means+LHS,59,69
Min Comp+K-Means,52,69
K-Means+Min Comp,52,69
Min Comp+LHS,67,69
LHS+Min Comp,67,69
