Strategy,StoppingIteration,EvenlyStoppingIteration
Centroids_saturation_high+Centroids_saturation_low,61,100
Centroids_saturation_low+Centroids_saturation_high,61,100
Centroids_saturation_high+Centroids_saturation_medium,63,100
Centroids_saturation_medium+Centroids_saturation_high,64,100
K-Center+Centroids_saturation_high,97,100
Centroids_saturation_high+K-Means,48,100
K-Means+Centroids_saturation_high,48,100
Max Comp+Centroids_saturation_high,68,100
Centroids_saturation_high+Max Comp,68,100
Min Comp+Centroids_saturation_high,51,100
Centroids_saturation_high+Min Comp,51,100
Centroids_saturation_high+Random,82,100
Top5Similarity+Centroids_saturation_high,77,100
Centroids_saturation_high+Top5Similarity,77,100
Centroids_saturation_medium+Centroids_saturation_low,66,100
Centroids_saturation_low+Centroids_saturation_medium,66,100
Centroids_saturation_low+LHS,96,100
Max Comp+Centroids_saturation_low,67,100
Centroids_saturation_low+Max Comp,67,100
Min Comp+Centroids_saturation_low,44,100
Centroids_saturation_low+Min Comp,44,100
Centroids_saturation_low+ODAL,97,100
ODAL+Centroids_saturation_low,97,100
Top5Similarity+Centroids_saturation_low,49,100
Centroids_saturation_low+Top5Similarity,49,100
Max Comp+Centroids_saturation_medium,69,100
Centroids_saturation_medium+Max Comp,68,100
Min Comp+Centroids_saturation_medium,51,100
Centroids_saturation_medium+Min Comp,51,100
Top5Similarity+Centroids_saturation_medium,47,100
Centroids_saturation_medium+Top5Similarity,47,100
K-Means+Farthest,42,100
Farthest+K-Means,42,100
Max Comp+Farthest,99,100
Farthest+Max Comp,99,100
Min Comp+Farthest,59,100
Farthest+Min Comp,48,100
K-Means+K-Center,42,100
K-Center+K-Means,42,100
Max Comp+K-Center,50,100
K-Center+Max Comp,50,100
Min Comp+K-Center,39,100
K-Center+Min Comp,39,100
ODAL+K-Center,56,100
K-Center+ODAL,56,100
Random+K-Center,79,100
K-Center+Random,78,100
Top5Similarity+K-Center,93,100
K-Center+Top5Similarity,93,100
LHS+K-Means,67,100
K-Means+LHS,67,100
Max Comp+K-Means,67,100
K-Means+Max Comp,64,100
Min Comp+K-Means,51,100
K-Means+Min Comp,51,100
K-Means+ODAL,50,100
ODAL+K-Means,50,100
Random+K-Means,50,100
K-Means+Random,50,100
K-Means+Top5Similarity,84,100
Max Comp+LHS,65,100
LHS+Max Comp,65,100
Min Comp+LHS,40,100
LHS+Min Comp,40,100
LHS+ODAL,95,100
ODAL+LHS,95,100
LHS+Random,98,100
Max Comp+Min Comp,47,100
Min Comp+Max Comp,47,100
Max Comp+ODAL,53,100
ODAL+Max Comp,53,100
Max Comp+Random,55,100
Random+Max Comp,55,100
Min Comp+ODAL,72,100
ODAL+Min Comp,72,100
Min Comp+Random,56,100
Random+Min Comp,56,100
Top5Similarity+Min Comp,52,100
Min Comp+Top5Similarity,52,100
ODAL+Random,62,100
Top5Similarity+Random,68,100
Random+Top5Similarity,68,100
