Strategy,StoppingIteration,EvenlyStoppingIteration
Centroids_saturation_high+Farthest,67,85
Farthest+Centroids_saturation_high,67,85
Centroids_saturation_high+K-Center,76,85
K-Center+Centroids_saturation_high,76,85
Centroids_saturation_high+K-Means,77,85
K-Means+Centroids_saturation_high,77,85
Centroids_saturation_high+LHS,84,85
LHS+Centroids_saturation_high,84,85
Min Comp+Centroids_saturation_high,75,85
Centroids_saturation_high+Min Comp,75,85
Centroids_saturation_high+ODAL,72,85
ODAL+Centroids_saturation_high,72,85
Centroids_saturation_high+Random,79,85
Random+Centroids_saturation_high,79,85
Centroids_saturation_low+Farthest,77,85
Farthest+Centroids_saturation_low,77,85
Centroids_saturation_low+K-Center,74,85
K-Center+Centroids_saturation_low,74,85
Centroids_saturation_low+K-Means,69,85
K-Means+Centroids_saturation_low,69,85
Min Comp+Centroids_saturation_low,59,85
Centroids_saturation_low+Min Comp,59,85
Centroids_saturation_low+Random,84,85
Random+Centroids_saturation_low,84,85
Centroids_saturation_medium+Farthest,80,85
Farthest+Centroids_saturation_medium,80,85
Centroids_saturation_medium+K-Center,69,85
K-Center+Centroids_saturation_medium,69,85
Centroids_saturation_medium+K-Means,81,85
K-Means+Centroids_saturation_medium,81,85
Centroids_saturation_medium+LHS,84,85
LHS+Centroids_saturation_medium,84,85
Max Comp+Centroids_saturation_medium,81,85
Centroids_saturation_medium+Max Comp,81,85
Farthest+K-Center,83,85
K-Center+Farthest,83,85
LHS+Farthest,67,85
Farthest+LHS,67,85
Max Comp+Farthest,58,85
Farthest+Max Comp,58,85
Min Comp+Farthest,75,85
Farthest+Min Comp,75,85
Farthest+ODAL,79,85
ODAL+Farthest,79,85
Random+Farthest,79,85
Farthest+Random,79,85
Top5Similarity+Farthest,76,85
Farthest+Top5Similarity,76,85
K-Means+K-Center,67,85
K-Center+K-Means,67,85
LHS+K-Center,73,85
K-Center+LHS,73,85
Max Comp+K-Center,77,85
K-Center+Max Comp,77,85
Min Comp+K-Center,75,85
K-Center+Min Comp,75,85
ODAL+K-Center,82,85
K-Center+ODAL,82,85
Random+K-Center,75,85
K-Center+Random,75,85
Top5Similarity+K-Center,82,85
K-Center+Top5Similarity,82,85
LHS+K-Means,83,85
K-Means+LHS,83,85
Max Comp+K-Means,73,85
K-Means+Max Comp,73,85
Min Comp+K-Means,73,85
K-Means+Min Comp,73,85
Random+K-Means,70,85
K-Means+Random,70,85
Max Comp+LHS,73,85
LHS+Max Comp,73,85
Min Comp+LHS,59,85
LHS+Min Comp,59,85
LHS+ODAL,82,85
ODAL+LHS,82,85
Random+LHS,79,85
LHS+Random,79,85
Top5Similarity+LHS,81,85
LHS+Top5Similarity,81,85
Max Comp+Min Comp,53,85
Min Comp+Max Comp,53,85
Max Comp+ODAL,47,85
ODAL+Max Comp,47,85
Max Comp+Random,78,85
Random+Max Comp,78,85
Top5Similarity+Max Comp,43,85
Max Comp+Top5Similarity,43,85
Min Comp+ODAL,63,85
ODAL+Min Comp,63,85
Min Comp+Random,81,85
Random+Min Comp,81,85
Top5Similarity+Min Comp,79,85
Min Comp+Top5Similarity,79,85
Random+ODAL,81,85
ODAL+Random,81,85
Top5Similarity+Random,79,85
Random+Top5Similarity,79,85
