Strategy,StoppingIteration,EvenlyStoppingIteration
Centroids_saturation_high+Farthest,64,92
Farthest+Centroids_saturation_high,64,92
Centroids_saturation_high+K-Center,55,92
K-Center+Centroids_saturation_high,55,92
Centroids_saturation_high+K-Means,89,92
K-Means+Centroids_saturation_high,89,92
Max Comp+Centroids_saturation_high,72,92
Centroids_saturation_high+Max Comp,72,92
Min Comp+Centroids_saturation_high,41,92
Centroids_saturation_high+Min Comp,41,92
Centroids_saturation_high+ODAL,64,92
ODAL+Centroids_saturation_high,64,92
Top5Similarity+Centroids_saturation_high,79,92
Centroids_saturation_high+Top5Similarity,79,92
Centroids_saturation_low+Farthest,89,92
Farthest+Centroids_saturation_low,89,92
Centroids_saturation_low+K-Center,67,92
K-Center+Centroids_saturation_low,67,92
Max Comp+Centroids_saturation_low,51,92
Centroids_saturation_low+Max Comp,51,92
Min Comp+Centroids_saturation_low,45,92
Centroids_saturation_low+Min Comp,45,92
Centroids_saturation_low+ODAL,86,92
ODAL+Centroids_saturation_low,86,92
Top5Similarity+Centroids_saturation_low,76,92
Centroids_saturation_low+Top5Similarity,76,92
Centroids_saturation_medium+Farthest,62,92
Farthest+Centroids_saturation_medium,62,92
Centroids_saturation_medium+K-Center,63,92
K-Center+Centroids_saturation_medium,63,92
Centroids_saturation_medium+K-Means,78,92
K-Means+Centroids_saturation_medium,78,92
Max Comp+Centroids_saturation_medium,49,92
Centroids_saturation_medium+Max Comp,49,92
Min Comp+Centroids_saturation_medium,40,92
Centroids_saturation_medium+Min Comp,40,92
Centroids_saturation_medium+ODAL,62,92
ODAL+Centroids_saturation_medium,62,92
Top5Similarity+Centroids_saturation_medium,62,92
Centroids_saturation_medium+Top5Similarity,62,92
Farthest+K-Center,48,92
K-Center+Farthest,48,92
K-Means+Farthest,53,92
Farthest+K-Means,53,92
LHS+Farthest,66,92
Farthest+LHS,66,92
Max Comp+Farthest,52,92
Farthest+Max Comp,52,92
Min Comp+Farthest,50,92
Farthest+Min Comp,50,92
Farthest+ODAL,45,92
ODAL+Farthest,45,92
Random+Farthest,81,92
Farthest+Random,81,92
Top5Similarity+Farthest,45,92
Farthest+Top5Similarity,45,92
K-Means+K-Center,67,92
K-Center+K-Means,67,92
LHS+K-Center,70,92
K-Center+LHS,70,92
Max Comp+K-Center,36,92
K-Center+Max Comp,36,92
Min Comp+K-Center,44,92
K-Center+Min Comp,44,92
ODAL+K-Center,41,92
K-Center+ODAL,41,92
Random+K-Center,49,92
K-Center+Random,49,92
Top5Similarity+K-Center,54,92
K-Center+Top5Similarity,54,92
LHS+K-Means,79,92
K-Means+LHS,79,92
Max Comp+K-Means,59,92
K-Means+Max Comp,59,92
Min Comp+K-Means,58,92
K-Means+Min Comp,58,92
K-Means+ODAL,61,92
ODAL+K-Means,61,92
Max Comp+LHS,67,92
LHS+Max Comp,67,92
Min Comp+LHS,42,92
LHS+Min Comp,42,92
LHS+ODAL,57,92
ODAL+LHS,57,92
Top5Similarity+LHS,90,92
LHS+Top5Similarity,90,92
Max Comp+Min Comp,40,92
Min Comp+Max Comp,40,92
Max Comp+ODAL,43,92
ODAL+Max Comp,43,92
Max Comp+Random,52,92
Random+Max Comp,52,92
Top5Similarity+Max Comp,37,92
Max Comp+Top5Similarity,37,92
Min Comp+ODAL,42,92
ODAL+Min Comp,42,92
Min Comp+Random,42,92
Random+Min Comp,42,92
Top5Similarity+Min Comp,33,92
Min Comp+Top5Similarity,33,92
Random+ODAL,76,92
ODAL+Random,76,92
Top5Similarity+ODAL,47,92
ODAL+Top5Similarity,47,92
Top5Similarity+Random,63,92
Random+Top5Similarity,63,92
