Strategy,StoppingIteration,GradientStableIteration
ODAL_seed_46+Centroids_saturation_low_seed_46,49,49.0
ODAL_seed_46+Centroids_saturation_medium_seed_46,47,47.0
ODAL_seed_46+Centroids_saturation_high_seed_46,46,46.0
ODAL_seed_46+Random_seed_46,100,61.0
ODAL_seed_46+LHS_seed_46,67,67.0
ODAL_seed_46+K-Means_seed_46,100,80.0
ODAL_seed_46+Farthest_seed_46,51,51.0
ODAL_seed_46+K-Center_seed_46,47,47.0
K-Center_seed_46+Top5Similarity,93,76.0
K-Center_seed_46+Max Comp,47,47.0
K-Center_seed_46+Min Comp,47,47.0
K-Center_seed_46+Centroids_saturation_low_seed_46,97,97.0
K-Center_seed_46+Centroids_saturation_medium_seed_46,100,
K-Center_seed_46+Centroids_saturation_high_seed_46,53,53.0
K-Center_seed_46+Random_seed_46,52,52.0
K-Center_seed_46+LHS_seed_46,100,95.0
K-Center_seed_46+K-Means_seed_46,67,67.0
K-Center_seed_46+Farthest_seed_46,66,66.0
K-Center_seed_46+ODAL_seed_46,47,47.0
