Strategy,StoppingIteration,GradientStableIteration
Top5Similarity,100,43.0
Max Comp,34,30.0
Min Comp,31,30.0
Centroids_saturation_high_seed_46,100,
Centroids_saturation_low_seed_46,100,60.0
Centroids_saturation_medium_seed_46,61,61.0
Random_seed_46,30,30.0
LHS_seed_46,100,59.0
K-Means_seed_46,100,
Farthest_seed_46,75,75.0
ODAL_seed_46,71,42.0
K-Center_seed_46,79,79.0
Random_seed_46+Top5Similarity,37,37.0
Random_seed_46+Max Comp,39,39.0
Random_seed_46+Min Comp,34,34.0
Random_seed_46+Centroids_saturation_high_seed_46,35,35.0
Random_seed_46+Centroids_saturation_low_seed_46,51,40.0
Random_seed_46+Centroids_saturation_medium_seed_46,38,38.0
Random_seed_46+LHS_seed_46,36,36.0
Random_seed_46+K-Means_seed_46,49,38.0
Random_seed_46+Farthest_seed_46,37,37.0
Random_seed_46+ODAL_seed_46,48,33.0
Random_seed_46+K-Center_seed_46,40,38.0
