Top5Similarity,Max Comp,Min Comp,Centroids_saturation_medium_seed_47,Centroids_saturation_low_seed_47,Centroids_saturation_high_seed_47,Random_seed_47,LHS_seed_47,K-Means_seed_47,Farthest_seed_47,ODAL_seed_47,K-Center_seed_47,Random_seed_47+Top5Similarity,Random_seed_47+Max Comp,Random_seed_47+Min Comp,Random_seed_47+Centroids_saturation_medium_seed_47,Random_seed_47+Centroids_saturation_low_seed_47,Random_seed_47+Centroids_saturation_high_seed_47,Random_seed_47+LHS_seed_47,Random_seed_47+K-Means_seed_47,Random_seed_47+Farthest_seed_47,Random_seed_47+ODAL_seed_47,Random_seed_47+K-Center_seed_47
0.11574388528044424,0.055634829989887696,0.03430598347052919,0.11264441370559211,0.03888513457437252,0.11097868414067454,0.06646314075678962,0.11885548589118453,0.051952545022895785,0.04289693742262318,0.2418207281191171,0.06491649126645864,0.0450235807633444,0.023491808218269034,0.023100410669131766,0.06746049115025647,0.032165937746771726,0.06787157563312075,0.03728731776561683,0.030808811020280828,0.032104180986451764,0.030991439702699373,0.04161511906383857
0.05092582708692574,0.057313848989585865,0.032188931989492714,0.10991821431075582,0.0354218180031678,0.11007409951047754,0.03912016873835069,0.11941781784705732,0.04300605492850401,0.039920857485056825,0.10336668110566609,0.03812489744217997,0.02811964111313475,0.014810376512317352,0.022065599402643733,0.040970776380188346,0.027464544308389797,0.04124082928678914,0.02933805046157526,0.03204298930930733,0.018597710554278307,0.02491750012959676,0.023940830113795504
0.04884443768312796,0.0532169738197833,0.022741889116505036,0.11365707774394457,0.03508683744566005,0.11375324361017897,0.03883878212274443,0.11968420824696156,0.026286968189513957,0.039610247647313405,0.03947405469964032,0.028169701983167907,0.02016528572119745,0.014110872809610698,0.019368176277345734,0.04065206470021682,0.02764488962267488,0.04092000823944181,0.02947596830536489,0.021833691237138703,0.015458340010663802,0.02106348970166191,0.016870400164998297
0.0884247773091852,0.05365369219907981,0.02265190866106205,0.11715598250399914,0.03461507686349465,0.11373775951688066,0.03905468113127937,0.11759497580347526,0.02694712440880226,0.03725640050915507,0.03906658627378835,0.02335132859717504,0.019546338292087823,0.014145874674745531,0.014315757927551269,0.04103533930028574,0.021486962438460974,0.04130318113162686,0.023038841373947915,0.014937286632293224,0.014572523322964022,0.019715073022652418,0.0170284411755445
0.07740684653746295,0.05656254948008448,0.023354428710898382,0.12134258879235707,0.037496153399217864,0.1178721702884451,0.039440638592722885,0.11811640870255008,0.020011977596455326,0.03515142193092329,0.049587507457398546,0.025281872879653177,0.014136802230326713,0.01384969525467729,0.013469807351433416,0.04127829421576845,0.017084444001619275,0.04121886232554522,0.017642713288822894,0.013508949537034267,0.013512463358937908,0.01411952941269806,0.014381786124720745
0.07730735421372133,0.05107129003438044,0.02018242690738942,0.11965878552373488,0.03763752038934215,0.12221837838277538,0.038898951824039726,0.11753790721448763,0.018350577275778053,0.036901725357301865,0.051090116545493176,0.025453061869828788,0.01434329664130704,0.013721688299899825,0.014638567595007245,0.04061064556349664,0.0153740647143497,0.04123438927063239,0.016384228774466117,0.012438433772695183,0.013632414455480453,0.014557236409113779,0.01339251435876759
0.07245479940054898,0.052358958267989336,0.021401708226239657,0.12077852033528287,0.0276379879035962,0.1219919995372704,0.03880758108824898,0.12140352562109606,0.015841254632502525,0.03739601109635993,0.051921992827295954,0.02553827658518553,0.014020512223315308,0.01323671882583541,0.014404880856588384,0.040626014846739354,0.015199976949423866,0.04150371097674487,0.016075264129859636,0.011435759070365379,0.013261261681568002,0.014307806898606551,0.013690870886969202
0.07248049661898284,0.053026345589797574,0.015253301943930308,0.12041559116536187,0.018837715545039074,0.1219965988281362,0.03952887771082756,0.1209395977843613,0.016767475548502865,0.028953849761108645,0.054643137109867845,0.021435383498876304,0.013886867425775239,0.013462694205305907,0.014244199199354917,0.040895114203229485,0.015720800627078767,0.04151140479116632,0.014752757739487626,0.011194183433203464,0.012856966492233248,0.013969386569419718,0.012759067006439227
0.07189240609986129,0.05300601162214389,0.015221114784450067,0.1266820076205028,0.020100245632745036,0.12188136959412116,0.03950930651983345,0.12088383638156444,0.012874515955175317,0.028608101427537756,0.056781813661578896,0.020959136831539556,0.013420298167999247,0.012320932908022376,0.011593844530134638,0.040844392469536535,0.015168422525384091,0.040678175144397186,0.01442088740870282,0.009622126080074596,0.012943645750997972,0.013387074211302951,0.011459925556160924
0.07189205801897304,0.0523461042937653,0.015332441900720466,0.13129715032865738,0.020207953752651893,0.12816010001981443,0.03952413383785016,0.11971935990010638,0.012149249288302404,0.02758447900162867,0.056662308227681216,0.023017455736534707,0.013619590607819757,0.011951488700308582,0.011750866683810689,0.04126942041926981,0.014634647443913665,0.04028746885312485,0.01550527410376161,0.009149798305837422,0.01290875682283584,0.013134292330761382,0.011109765988052973
