Iteration,Top5Similarity,Max Comp,Min Comp,Centroids_saturation_medium,Centroids_saturation_low,Centroids_saturation_high,Random,LHS,K-Means,Farthest,ODAL,K-Center,Random+Top5Similarity,Random+Max Comp,Random+Min Comp,Random+Centroids_saturation_medium,Random+Centroids_saturation_low,Random+Centroids_saturation_high,Random+LHS,Random+K-Means,Random+Farthest,Random+ODAL,Random+K-Center
0,0.11574388528044419,0.0556348299898876,0.0343059834705291,0.07250999765261198,0.06689897590126614,0.06444462199861242,0.05111759741382475,0.05967467977038987,0.058200988406209145,0.04812100071009549,0.10109497151792071,0.05487948582651388,0.04618743928986298,0.039367598720635895,0.024274360923356712,0.042414758993118196,0.03935943071228557,0.0421879968595268,0.03835696823279951,0.037779334252159756,0.03664761195742352,0.03429723159104844,0.03747162222381402
1,0.05092582708692571,0.0573138489895858,0.03218893198949269,0.06266756199183564,0.05312700292929375,0.054867010488555454,0.04391173193624775,0.054776631006933266,0.04176306585829613,0.046135980857605674,0.08248326424811761,0.047556312652372715,0.040751499877434885,0.03250475089413291,0.021193497779729432,0.03686032092299329,0.03591210936372274,0.03562283574076275,0.034610510114047616,0.03166189594039814,0.03294771725843375,0.026845378781787672,0.02988506571107007
2,0.0488444376831279,0.0532169738197833,0.022741889116504998,0.060858655598979926,0.052318353084168476,0.05436667826362349,0.041018197653350255,0.04560730074654805,0.03745086207209898,0.041980511162717934,0.06814489288499884,0.044442210104711145,0.035521862355692504,0.028591764792420697,0.017812487807892602,0.033655216075585144,0.03322425995452817,0.03257554811598915,0.033037341213062676,0.02756269320195326,0.03457028762636636,0.02177186085485543,0.02627444830545269
3,0.0884247773091852,0.0536536921990798,0.022651908661062002,0.06246533747242379,0.052791298347493965,0.05488997836692007,0.0426519986163361,0.04570337306466129,0.03131425943727255,0.04092611086320227,0.0633708494087096,0.04306097500225605,0.0353065784408889,0.02742015640862905,0.01612657579179591,0.03325318250477375,0.0326035068041201,0.031849135928325,0.030910555646079772,0.0249604141684183,0.033282359513891024,0.01826632517460883,0.024635666788274425
4,0.0774068465374629,0.0565625494800844,0.0233544287108983,0.06237074539059843,0.05400609665453342,0.0555253335980983,0.040734384902503855,0.0467399025164312,0.027330759200925113,0.039724141428669604,0.06462672086657048,0.04305817684576878,0.03238598658182055,0.026471163806202076,0.014590176421262637,0.029084422243806723,0.03116147903984682,0.029343613012452446,0.028334414654292622,0.02426129287321898,0.029994654839788713,0.01726128373607997,0.02307424661856211
5,0.07730735421372129,0.05107129003438039,0.020182426907389396,0.06367369597579434,0.05432897427788315,0.05684799535859271,0.04043749467061551,0.04608514559014191,0.02670654664229082,0.0398460307604855,0.06503175492352659,0.04267814767175631,0.03101193283519104,0.026694711612055978,0.013578455080002091,0.028230268133258567,0.02959517439838245,0.027029813949095295,0.026929010785095835,0.02454735252941092,0.026529445402642175,0.01658636656637511,0.02263260058352527
6,0.0724547994005489,0.052358958267989295,0.0214017082262396,0.06407132388391967,0.05382307706233626,0.05873202512530864,0.04083495018324433,0.04675548309148379,0.0264011131733404,0.03861551295746394,0.062793371287329,0.042064392247333646,0.031092582956400418,0.026251831816762862,0.013353470256119378,0.02699276289312629,0.03078426314304692,0.026348518076915645,0.026215603449773923,0.024498932348480492,0.025750987305838125,0.016011583416652632,0.02239156486875257
7,0.0724804966189828,0.053026345589797505,0.0152533019439303,0.06438039305708025,0.05351182976050567,0.058869906665889135,0.04112672927870649,0.04597871677118572,0.026928741961433696,0.037879105795486964,0.06198597337530014,0.04085441119874226,0.031296291218920934,0.02517744404033658,0.01327523071038915,0.026713290851605474,0.030728524373051992,0.02529470992673357,0.02530085984879904,0.02440458142802144,0.02585927527307247,0.01583294693826582,0.021613579454651477
8,0.07189240609986118,0.0530060116221438,0.015221114784450002,0.06551348605128643,0.053690064480246734,0.05656183120897984,0.04074283359200436,0.04457798588689663,0.02734371408118168,0.03736434799922584,0.061510911426429005,0.039825327221336006,0.030923862042444017,0.025158284683032238,0.012939693721403838,0.026742224287522192,0.030475957795451786,0.025638875604237645,0.02545761510977873,0.023700069972460103,0.025659725139074253,0.015336379711974218,0.021058956198966257
9,0.07189205801897301,0.05234610429376531,0.0153324419007204,0.06561459127384117,0.05362476569480533,0.05714788078363402,0.04009935014053037,0.04322167015102971,0.02684847569152754,0.036927788405208536,0.060320572384243945,0.03984690236114516,0.030670344627778755,0.024962087958948668,0.01275577265267763,0.026598313807131964,0.030184477984508844,0.025485037014615693,0.02561105181386733,0.02357188120131656,0.02541586428216746,0.015015896151835078,0.02059871914545473
