Strategy,StoppingIteration,GradientStableIteration
Top5Similarity,100,
Max Comp,75,75.0
Min Comp,100,46.0
Centroids_saturation_low_seed_44,100,
Centroids_saturation_medium_seed_44,100,
Centroids_saturation_high_seed_44,100,
Random_seed_44,81,38.0
LHS_seed_44,100,58.0
K-Means_seed_44,51,30.0
Farthest_seed_44,100,49.0
ODAL_seed_44,81,32.0
K-Center_seed_44,92,30.0
Random_seed_44+Top5Similarity,52,49.0
Random_seed_44+Max Comp,47,47.0
Random_seed_44+Min Comp,79,58.0
Random_seed_44+Centroids_saturation_low_seed_44,65,63.0
Random_seed_44+Centroids_saturation_medium_seed_44,77,61.0
Random_seed_44+Centroids_saturation_high_seed_44,77,57.0
Random_seed_44+LHS_seed_44,77,56.0
Random_seed_44+K-Means_seed_44,72,44.0
Random_seed_44+Farthest_seed_44,83,53.0
Random_seed_44+ODAL_seed_44,72,45.0
Random_seed_44+K-Center_seed_44,75,45.0
