Iteration,MAE
0,0.022873642355729744
1,0.02135180681455539
2,0.02093985201672026
3,0.02085967222083666
4,0.022072336299673128
5,0.021010689463784784
6,0.02082122046034011
7,0.02082788116846537
8,0.021152464977912226
9,0.02051395433893364
10,0.021151660339289117
11,0.021095051096366238
12,0.020986064179779024
13,0.017559198792973494
14,0.009886709986178258
15,0.009823141780197261
16,0.009922365701135374
17,0.010117406684052093
18,0.010526658770860042
19,0.010189277022880125
20,0.008840865930307732
21,0.007674622453210689
22,0.0075659777906007235
23,0.007215089113410678
24,0.006476224520413189
25,0.006478685582425716
26,0.00639034080755407
27,0.006298814545534463
28,0.0061300432747499346
29,0.005886278886880285
30,0.0059450603614303685
31,0.0060222928969103995
32,0.005884303967026301
33,0.005736273976168966
34,0.005699827208153623
35,0.005609448876974467
36,0.004953473261303058
