Strategy,StoppingIteration,GradientStableIteration
Top5Similarity,100,36.0
Max Comp,100,
Min Comp,74,32.0
Centroids_saturation_medium_seed_48,100,
Centroids_saturation_low_seed_48,100,81.0
Centroids_saturation_high_seed_48,62,58.0
Random_seed_48,100,46.0
LHS_seed_48,100,
K-Means_seed_48,100,30.0
Farthest_seed_48,100,46.0
ODAL_seed_48,91,30.0
K-Center_seed_48,100,55.0
Random_seed_48+Top5Similarity,100,80.0
Random_seed_48+Max Comp,100,45.0
Random_seed_48+Min Comp,92,45.0
Random_seed_48+Centroids_saturation_medium_seed_48,100,74.0
Random_seed_48+Centroids_saturation_low_seed_48,100,
Random_seed_48+Centroids_saturation_high_seed_48,100,66.0
Random_seed_48+LHS_seed_48,73,73.0
Random_seed_48+K-Means_seed_48,100,44.0
Random_seed_48+Farthest_seed_48,100,55.0
Random_seed_48+ODAL_seed_48,100,41.0
Random_seed_48+K-Center_seed_48,100,45.0
