Iteration,MAE
0,0.01271681223216893
1,0.0116081644410017
2,0.009310458965740193
3,0.007981983240918224
4,0.007837345323674486
5,0.009460308762465865
6,0.00937950969987273
7,0.009432274787333814
8,0.00905893336843056
9,0.009181300133403176
10,0.008891661304240319
11,0.008699601237480138
12,0.008984077571927505
13,0.009453449671190594
14,0.009596644952192309
15,0.009502684317340467
16,0.009511143039682986
17,0.009326902597753029
18,0.008087260732276752
19,0.0076370207646308625
20,0.00756254511984033
21,0.007209376231554941
22,0.006591736384399297
23,0.006479188310449379
24,0.006351496415477087
25,0.0062369325272746984
26,0.006240623197054264
27,0.006192055164573588
28,0.006108555202182958
29,0.006111726153968146
30,0.00610796711220807
31,0.006106601071180911
32,0.006145287321151894
33,0.006116179918011091
34,0.006099618039080145
35,0.006029563612795791
36,0.0060052824431311306
37,0.005960780139746308
38,0.00595974228317617
39,0.0056856669015155235
40,0.005658602585809672
41,0.00565562233892472
42,0.004731667496860108
43,0.0047296083436999216
44,0.004737204666200971
45,0.00472321705085334
46,0.0047145220652002875
47,0.004679878964216809
48,0.004479603727620154
49,0.004452663384829338
50,0.004458184131406326
51,0.004454173847017404
52,0.004355660362074534
53,0.00423445238007405
54,0.004231649358037158
55,0.004231345423022253
56,0.0042315116872428254
57,0.00422790379854313
58,0.004219893236393076
59,0.004204953444869726
60,0.0041857300612670465
61,0.004010790368222536
62,0.003777060604294024
63,0.003778027487757755
64,0.0037815647518124515
65,0.0037196236644826313
66,0.0037184409865478616
67,0.0034561105717227196
68,0.0034471775414418497
69,0.0033777953944421047
70,0.0033714857589602063
71,0.0033604972360019034
72,0.003359086358096757
73,0.003357736059830257
74,0.0033627065906343605
75,0.003353643741919715
76,0.003364187804966246
77,0.003360868616706516
78,0.003316711247922815
79,0.003206815754219998
80,0.0031882625897198535
81,0.003158524658624089
82,0.003040287151806854
83,0.0030224722486188516
84,0.0030210966504916658
85,0.003013459970041913
86,0.0030070068120026834
87,0.003005786415302533
88,0.003005452840893707
89,0.0030054477071924292
90,0.0030054605875186793
91,0.0029601840947678505
92,0.0029578856826955272
