CanonicalMixedStrategy,ImprovedCount
Centroids_saturation_low+K-Center,3
Centroids_saturation_low+LHS,3
Centroids_saturation_high+Centroids_saturation_low,2
Centroids_saturation_low+Centroids_saturation_medium,2
Centroids_saturation_low+Farthest,2
Centroids_saturation_low+K-Means,2
Centroids_saturation_low+ODAL,1
Centroids_saturation_low+Random,1
