Iteration,MeanMAE
0,0.011528565254317674
1,0.01011098543218125
2,0.010529753073296516
3,0.009816796148145155
4,0.009057761917430475
5,0.00844147265537335
6,0.008152096292289968
7,0.007542957804028824
8,0.006850201692512506
9,0.00687282697119849
10,0.006856608536250597
11,0.006772023461146914
12,0.006823954044167492
13,0.0065786865849307265
14,0.006426775928266823
15,0.006370256128985394
16,0.006264126508169388
17,0.006244607888842276
18,0.006187886650583769
19,0.0061841314406639826
20,0.006108152706296284
21,0.006024887651633907
22,0.005923836120498635
23,0.005883214300247564
24,0.005891852598808479
25,0.005803413631808276
26,0.005679433925989265
27,0.005616266822461626
28,0.005579010549930034
29,0.005466858931187224
30,0.005416854275745628
31,0.005384335359979537
32,0.0053512101261048274
33,0.00529144283969772
34,0.0053004832045065765
35,0.005266878209575794
36,0.005133515746308826
37,0.00509180105141313
38,0.0050539775984725635
39,0.005016117738975812
40,0.0049671227343569165
41,0.004911121406560419
42,0.004900273770399769
43,0.0048505059196561
44,0.00483820994583066
45,0.005065408688140061
46,0.005048469572391078
47,0.004979735665839627
48,0.004983380985058229
49,0.004941842599346963
50,0.00490168744515545
51,0.004880338791252093
52,0.004876864073819314
53,0.004849801589774416
54,0.004822481051331682
55,0.004795916781951059
56,0.0047332464072733635
57,0.004721851579185015
58,0.004708816271655451
59,0.0046321425683710235
60,0.004610443275565919
61,0.0045848769816007745
62,0.004573370219671521
63,0.004516568461337176
64,0.004441669442968666
65,0.004398920960888003
66,0.0043825645989371545
67,0.0043377477953842145
68,0.004344160288878546
69,0.004309378508384745
70,0.004283178960009401
71,0.004446245351232611
72,0.004683463364478256
73,0.004666968606607367
74,0.004614416505510941
75,0.004788537574832253
76,0.004774987652754221
77,0.004775036072664266
78,0.004755477057816305
79,0.004740673682025105
80,0.004709112677927846
81,0.00460526061429696
82,0.004579859759041116
83,0.004559102357813362
84,0.0049837841133490305
85,0.005590487547922891
86,0.006300464560195003
87,0.006290141056860662
88,0.006270296355838735
89,0.00626878058063533
90,0.006246001411471077
91,0.006211551510972333
92,0.006201588300120701
93,0.006162503923141548
94,0.006140431563208045
95,0.006062583271817089
96,0.006026719988676411
97,0.006010120923781802
98,0.005915599398537464
99,0.005904611679036022
100,0.00589527230831884
